region;response;contrast_type;frac_plot;frac_bin;stage;median;lower;upper;n_runs;significant
CBA;Temp;Spatially adjusted;0,292857;;SF[a];-0,110607149901879;-0,11926645454827;-0,102812113273243;30;TRUE
CBA;Temp;Spatially adjusted;0,313061;;SF[e];-0,0678495992164745;-0,0825512675879482;-0,0597938875223908;30;TRUE
CBA;Temp;Spatially adjusted;0,313061;;SF[i];-0,0815543520855115;-0,0943486201457405;-0,0750780850058185;30;TRUE
CBA;Temp;Spatially adjusted;0,313061;;SF[a];-0,100494100608245;-0,108715431549532;-0,0922421369527893;30;TRUE
CBA;Temp;Spatially adjusted;0,333265;;SF[e];-0,0568237596569468;-0,0703259680308909;-0,0484451974112287;30;TRUE
CBA;Temp;Spatially adjusted;0,333265;;SF[i];-0,0711349118047284;-0,0830188262497299;-0,0647224744997634;30;TRUE
CBA;Temp;Spatially adjusted;0,333265;;SF[a];-0,089088918875321;-0,0969592042961286;-0,0809552288795653;30;TRUE
CBA;Temp;Spatially adjusted;0,353469;;SF[e];-0,0444771239157955;-0,0573661797999245;-0,0361772479112788;30;TRUE
CBA;Temp;Spatially adjusted;0,353469;;SF[i];-0,059492535728257;-0,0706090310012255;-0,0535077061212375;30;TRUE
CBA;Temp;Spatially adjusted;0,353469;;SF[a];-0,0772963856942291;-0,0837938292844076;-0,0689317629847919;30;TRUE
CBA;Temp;Spatially adjusted;0,373673;;SF[e];-0,0314511448380568;-0,0433213601180094;-0,023097904015293;30;TRUE
CBA;Temp;Spatially adjusted;0,373673;;SF[i];-0,0474963742010353;-0,0572505984592655;-0,0415439769030036;30;TRUE
CBA;Temp;Spatially adjusted;0,373673;;SF[a];-0,064638764185899;-0,0690085134848509;-0,0561687260718133;30;TRUE
CBA;Temp;Spatially adjusted;0,393878;;SF[e];-0,0176223651764112;-0,0295478005131359;-0,00898169588232064;30;TRUE
CBA;Temp;Spatially adjusted;0,393878;;SF[i];-0,0346482254651388;-0,0432600883814238;-0,0288630678656192;30;TRUE
CBA;Temp;Spatially adjusted;0,393878;;SF[a];-0,0509789484080284;-0,0545153558746335;-0,0427993613924693;30;TRUE
CBA;Temp;Spatially adjusted;0,414082;;SF[e];-0,00341770648333295;-0,0131769590272475;0,00557164337006899;30;FALSE
CBA;Temp;Spatially adjusted;0,414082;;SF[i];-0,0212599852111364;-0,0292021771159828;-0,0157986245011578;30;TRUE
CBA;Temp;Spatially adjusted;0,414082;;SF[a];-0,0357395520771728;-0,0392694270855713;-0,0288480285185952;30;TRUE
CBA;Temp;Spatially adjusted;0,434286;;SF[e];0,0114192630661166;0,00188484116842735;0,0207547943843116;30;TRUE
CBA;Temp;Spatially adjusted;0,434286;;SF[i];-0,00755866599791233;-0,0149185647724041;-0,00218960765502097;30;TRUE
CBA;Temp;Spatially adjusted;0,434286;;SF[a];-0,020214046353054;-0,0242239367068031;-0,0136707922021154;30;TRUE
CBA;Temp;Spatially adjusted;0,45449;;SF[e];0,0263620912357272;0,0170027351592569;0,0364336185449814;30;TRUE
CBA;Temp;Spatially adjusted;0,45449;;SF[i];0,00614306410150079;-0,000399053138727902;0,0121179106529695;30;FALSE
CBA;Temp;Spatially adjusted;0,45449;;SF[a];-0,00439685717079641;-0,00954059154886089;0,00201345160763786;30;FALSE
CBA;Temp;Spatially adjusted;0,474694;;SF[e];0,0418343012505425;0,0310561762654107;0,0521560349749633;30;TRUE
CBA;Temp;Spatially adjusted;0,474694;;SF[i];0,0199278565063903;0,0140880477864764;0,0263726993818947;30;TRUE
CBA;Temp;Spatially adjusted;0,474694;;SF[a];0,0113873420314548;0,00504933501387956;0,0175560767529573;30;TRUE
CBA;Temp;Spatially adjusted;0,494898;;SF[e];0,056802864185519;0,0441918304644466;0,0677734644512633;30;TRUE
CBA;Temp;Spatially adjusted;0,494898;;SF[i];0,0342325914869779;0,0276342791526111;0,0428414670057169;30;TRUE
CBA;Temp;Spatially adjusted;0,494898;;SF[a];0,026782004632457;0,0196409308250989;0,0344065826941765;30;TRUE
CBA;Temp;Spatially adjusted;0,515102;;SF[e];0,0722346117655466;0,057230570278864;0,0828379898926519;30;TRUE
CBA;Temp;Spatially adjusted;0,515102;;SF[i];0,0483126670489451;0,0404308563323794;0,0590609802698252;30;TRUE
CBA;Temp;Spatially adjusted;0,515102;;SF[a];0,041529602068799;0,0340980525973856;0,0505223457814821;30;TRUE
CBA;Temp;Spatially adjusted;0,535306;;SF[e];0,0873755900801676;0,0700800687538032;0,0992902135825701;30;TRUE
CBA;Temp;Spatially adjusted;0,535306;;SF[i];0,0623122748634177;0,0530915770713635;0,0736607768265537;30;TRUE
CBA;Temp;Spatially adjusted;0,535306;;SF[a];0,0565582364442534;0,0482845570433275;0,0664154299301264;30;TRUE
CBA;Temp;Spatially adjusted;0,55551;;SF[e];0,101918796499264;0,0826479989344197;0,114832745478358;30;TRUE
CBA;Temp;Spatially adjusted;0,55551;;SF[i];0,0756369914126011;0,0657601032905724;0,0876521776890632;30;TRUE
CBA;Temp;Spatially adjusted;0,55551;;SF[a];0,0707851053907156;0,0620643008755208;0,0825572996261153;30;TRUE
CBA;Temp;Spatially adjusted;0,575714;;SF[e];0,115805038110997;0,0948420338658504;0,129614244948477;30;TRUE
CBA;Temp;Spatially adjusted;0,575714;;SF[i];0,0881251697910823;0,0771952090268398;0,100867521246523;30;TRUE
CBA;Temp;Spatially adjusted;0,575714;;SF[a];0,0842228974158346;0,075301140806556;0,0979101602231045;30;TRUE
CBA;Temp;Spatially adjusted;0,595918;;SF[e];0,128885999308967;0,106880477367351;0,143542478677049;30;TRUE
CBA;Temp;Spatially adjusted;0,595918;;SF[i];0,0996346379090554;0,0874297839647744;0,1131391458881;30;TRUE
CBA;Temp;Spatially adjusted;0,595918;;SF[a];0,0969055055564531;0,087188949357494;0,112268578331257;30;TRUE
CBA;Temp;Spatially adjusted;0,616122;;SF[e];0,140965005395224;0,118678922487361;0,156265261440136;30;TRUE
CBA;Temp;Spatially adjusted;0,616122;;SF[i];0,110176981348076;0,0969295113400834;0,124299390002959;30;TRUE
CBA;Temp;Spatially adjusted;0,616122;;SF[a];0,109140535000309;0,098129440316848;0,125427120560739;30;TRUE
CBA;Temp;Spatially adjusted;0,636327;;SF[e];0,151576254681147;0,129774854204208;0,167683003678395;30;TRUE
CBA;Temp;Spatially adjusted;0,636327;;SF[i];0,119596794953845;0,105590618040462;0,134348199997054;30;TRUE
CBA;Temp;Spatially adjusted;0,636327;;SF[a];0,12032427845902;0,108200103826672;0,137180353521717;30;TRUE
CBA;Temp;Spatially adjusted;0,656531;;SF[e];0,161040978513954;0,139996606599728;0,177710828319406;30;TRUE
CBA;Temp;Spatially adjusted;0,656531;;SF[i];0,127738673572072;0,11330933095361;0,143789552556898;30;TRUE
CBA;Temp;Spatially adjusted;0,656531;;SF[a];0,130218713075968;0,117286320388276;0,147322843824352;30;TRUE
CBA;Temp;Spatially adjusted;0,676735;;SF[e];0,169224293194466;0,14884514713788;0,18612284797154;30;TRUE
CBA;Temp;Spatially adjusted;0,676735;;SF[i];0,13442308269822;0,119981876967226;0,151575717241869;30;TRUE
CBA;Temp;Spatially adjusted;0,676735;;SF[a];0,138778293212458;0,125273470502979;0,155649158078811;30;TRUE
CBA;Temp;Spatially adjusted;0,696939;;SF[e];0,176117717615506;0,156772113121086;0,192795212619054;30;TRUE
CBA;Temp;Spatially adjusted;0,696939;;SF[i];0,139134730627303;0,125533757029513;0,157573282437842;30;TRUE
CBA;Temp;Spatially adjusted;0,696939;;SF[a];0,145384356182966;0,132078680483814;0,162009160225214;30;TRUE
CBA;Temp;Spatially adjusted;0,717143;;SF[e];0,181769014842745;0,163810661194147;0,19779249023389;30;TRUE
CBA;Temp;Spatially adjusted;0,717143;;SF[i];0,142605913612388;0,13000756833071;0,161847478825124;30;TRUE
CBA;Temp;Spatially adjusted;0,717143;;SF[a];0,150230054041515;0,137746059890663;0,16647390352348;30;TRUE
CBA;Temp;Spatially adjusted;0,737347;;SF[e];0,18549081848718;0,17002001921774;0,201226353284888;30;TRUE
CBA;Temp;Spatially adjusted;0,737347;;SF[i];0,145068489345219;0,133475182121553;0,164513197657628;30;TRUE
CBA;Temp;Spatially adjusted;0,737347;;SF[a];0,153616032915084;0,14235146409513;0,169297886402913;30;TRUE
CBA;Temp;Spatially adjusted;0,757551;;SF[e];0,188184268578683;0,175459415052543;0,203208474240901;30;TRUE
CBA;Temp;Spatially adjusted;0,757551;;SF[i];0,146244581566436;0,136008469652779;0,165685330189262;30;TRUE
CBA;Temp;Spatially adjusted;0,757551;;SF[a];0,156299352212951;0,14597074846881;0,171845514693501;30;TRUE
CBA;Temp;Spatially adjusted;0,777755;;SF[e];0,189333163436145;0,180188076559225;0,203850525570765;30;TRUE
CBA;Temp;Spatially adjusted;0,777755;;SF[i];0,146600794997383;0,13767930217513;0,165478767673948;30;TRUE
CBA;Temp;Spatially adjusted;0,777755;;SF[a];0,156988855553888;0,1486797683833;0,173085540533602;30;TRUE
CBA;Temp;Spatially adjusted;0,797959;;SF[e];0,189023610172253;0,183625464701719;0,203264179743333;30;TRUE
CBA;Temp;Spatially adjusted;0,797959;;SF[i];0,145109162963117;0,13791703881917;0,16400840136559;30;TRUE
CBA;Temp;Spatially adjusted;0,797959;;SF[a];0,156380711180891;0,149998333440528;0,173126930794093;30;TRUE
CBA;Temp;Spatially adjusted;0,818163;;SF[e];0,189129842415952;0,183893979076278;0,201561109227442;30;TRUE
CBA;Temp;Spatially adjusted;0,818163;;SF[i];0,144273272214676;0,134309817625201;0,161389122518105;30;TRUE
CBA;Temp;Spatially adjusted;0,818163;;SF[a];0,156094502275039;0,149681488364179;0,172078652345842;30;TRUE
CBA;Temp;Spatially adjusted;0,838367;;SF[e];0,18817208186303;0,180430282306442;0,19971570325425;30;TRUE
CBA;Temp;Spatially adjusted;0,838367;;SF[i];0,142531281380347;0,12966337085288;0,157735822385405;30;TRUE
CBA;Temp;Spatially adjusted;0,838367;;SF[a];0,154330335463632;0,14759402926578;0,170049672059727;30;TRUE
CBA;Temp;Spatially adjusted;0,858571;;SF[e];0,187746624905939;0,175990975986742;0,197612094138718;30;TRUE
CBA;Temp;Spatially adjusted;0,858571;;SF[i];0,139349794410134;0,124153856785921;0,153163392221404;30;TRUE
CBA;Temp;Spatially adjusted;0,858571;;SF[a];0,153184058399791;0,143648089946772;0,16714895680662;30;TRUE
CBA;Temp;Spatially adjusted;0,878776;;SF[e];0,185736620887715;0,170746621631767;0,19813728682791;30;TRUE
CBA;Temp;Spatially adjusted;0,878776;;SF[i];0,13565757784953;0,11788915883617;0,148175222529717;30;TRUE
CBA;Temp;Spatially adjusted;0,878776;;SF[a];0,151425997658761;0,138420776190272;0,164456951622861;30;TRUE
CBA;Temp;Spatially adjusted;0,89898;;SF[e];0,18210000638523;0,164347537534013;0,19825274135151;30;TRUE
CBA;Temp;Spatially adjusted;0,89898;;SF[i];0,132743493476648;0,11097716041544;0,144179029052641;30;TRUE
CBA;Temp;Spatially adjusted;0,89898;;SF[a];0,14745452293549;0,131619899863671;0,16138114492824;30;TRUE
CBA;Temp;Spatially adjusted;0,919184;;SF[e];0,178306513522418;0,157084392475211;0,199460738588406;30;TRUE
CBA;Temp;Spatially adjusted;0,919184;;SF[i];0,127113547212636;0,103525744935567;0,141157691274402;30;TRUE
CBA;Temp;Spatially adjusted;0,919184;;SF[a];0,143349778607003;0,124203461555876;0,157896877544388;30;TRUE
CBA;Temp;Spatially adjusted;0,939388;;SF[e];0,17341393309837;0,149251169880682;0,20041696637097;30;TRUE
CBA;Temp;Spatially adjusted;0,939388;;SF[i];0,121163469174056;0,095642795808379;0,137289634908065;30;TRUE
CBA;Temp;Spatially adjusted;0,939388;;SF[a];0,139629414454833;0,1160630016533;0,154419978769517;30;TRUE
CBA;Temp;Spatially adjusted;0,959592;;SF[e];0,168214038269035;0,140807495622814;0,201439189579732;30;TRUE
CBA;Temp;Spatially adjusted;0,959592;;SF[i];0,114642440461801;0,0874361964457045;0,133159488985375;30;TRUE
CBA;Temp;Spatially adjusted;0,959592;;SF[a];0,135636718022774;0,107697040825191;0,151165695238229;30;TRUE
