region;response;Ano;median;lower;upper;n_runs
CBA;Temp;2001;-0,218507246711192;-0,231997461550436;-0,208497360476256;30
CBA;Temp;2002;0,0725706609552625;0,0643518038587708;0,078804839288388;30
CBA;Temp;2003;-0,325638003490676;-0,334610053644262;-0,315667439223607;30
CBA;Temp;2004;-0,477083356825364;-0,485457149278183;-0,470885073227129;30
CBA;Temp;2005;-0,107472183667329;-0,112695317287029;-0,101976784879534;30
CBA;Temp;2006;-0,285110659820922;-0,292233685910989;-0,2803677961457;30
CBA;Temp;2007;-0,341092306938193;-0,345935685414016;-0,334212845953075;30
CBA;Temp;2008;-0,278082286959005;-0,285117966170525;-0,272329750039716;30
CBA;Temp;2009;0,393973708094772;0,387813251588476;0,402658338456089;30
CBA;Temp;2010;0,127587295551319;0,122999247719855;0,132726381419803;30
CBA;Temp;2011;-0,194823265824186;-0,203195031992526;-0,186869232264842;30
CBA;Temp;2012;-0,0782991202869683;-0,0840077937734547;-0,0745116997532364;30
CBA;Temp;2013;-0,411108029465974;-0,41514030433615;-0,406586612674666;30
CBA;Temp;2014;-0,0119890102386143;-0,017253731169435;-0,00476817318838553;30
CBA;Temp;2015;0,641314929960391;0,630902649077938;0,648204195989453;30
CBA;Temp;2016;0,580039533129989;0,570459385152026;0,591121089869376;30
CBA;Temp;2017;0,327938342708963;0,318746691526883;0,335446488347083;30
CBA;Temp;2018;0,14014510055103;0,13278097926751;0,144364815527291;30
CBA;Temp;2019;0,217716555870704;0,211213734121125;0,226363842093299;30
CBA;Temp;2020;0,396488772617614;0,391325261448256;0,404033475460093;30
CBA;Temp;2021;-0,1643975433866;-0,172644129900328;-0,153356916987733;30
