region;response;Ano;median;lower;upper;n_runs
EBA;Evapo;2001;-4,34372090375967;-7,98260224439795;-1,42748914966808;30
EBA;Evapo;2002;-7,43390615295615;-11,061689332081;-4,07645051544343;30
EBA;Evapo;2003;22,8617330830779;20,8978638687118;26,4651006494207;30
EBA;Evapo;2004;8,99703256777463;5,9937523278162;11,250946003921;30
EBA;Evapo;2005;-25,5742894251476;-28,8375464637004;-24,103524138608;30
EBA;Evapo;2006;-13,5347142501152;-16,0080926105604;-12,0686324042533;30
EBA;Evapo;2007;-27,5718912630753;-30,9823651364996;-26,1167480420707;30
EBA;Evapo;2008;-56,9599106647043;-59,8854336406215;-54,7415064573477;30
EBA;Evapo;2009;-19,1219997914758;-21,1473171066791;-17,4439651142804;30
EBA;Evapo;2010;37,0658836711446;35,4931512692984;38,7284333138251;30
EBA;Evapo;2011;11,6055863954761;9,4588325651365;13,185399325902;30
EBA;Evapo;2012;-18,6772311499163;-20,9936599994242;-16,8610947801834;30
EBA;Evapo;2013;31,8801664441802;30,2935991082627;34,2887410850195;30
EBA;Evapo;2014;5,73834289935009;4,17831118064385;7,37350114113489;30
EBA;Evapo;2015;-23,882903410499;-27,1033142272341;-21,520497420716;30
EBA;Evapo;2016;2,73535927119703;-0,0611811500667462;5,31199501458366;30
EBA;Evapo;2017;-16,1065274625007;-17,4895578962145;-12,3697930525639;30
EBA;Evapo;2018;27,4699629897857;25,5413491040057;30,7654113775192;30
EBA;Evapo;2019;24,8873899666401;22,1762695713181;27,6442862496592;30
EBA;Evapo;2020;2,55493996001467;0,514539857811293;5,52988555999863;30
EBA;Evapo;2021;37,646520764185;34,7373486526146;42,268530133045;30
