region,response,run,term,estimate
EBA,Evapo,5,"TipoSF_early:ns(frac_area, df = 3)2",278.119382102581
EBA,Evapo,5,"TipoSF_intermediate:ns(frac_area, df = 3)2",284.097106600757
EBA,Evapo,5,"TipoSF_advanced:ns(frac_area, df = 3)2",295.80919217227
EBA,Evapo,5,"TipoSF_early:ns(frac_area, df = 3)3",164.894595145636
EBA,Evapo,5,"TipoSF_intermediate:ns(frac_area, df = 3)3",182.565024345163
EBA,Evapo,5,"TipoSF_advanced:ns(frac_area, df = 3)3",180.526184779677
EBA,Evapo,6,(Intercept),1575.24919734625
EBA,Evapo,6,TipoSF_early,-124.363220342897
EBA,Evapo,6,TipoSF_intermediate,-131.092835829128
EBA,Evapo,6,TipoSF_advanced,-132.915121322582
EBA,Evapo,6,"ns(frac_area, df = 3)1",-110.218502741991
EBA,Evapo,6,"ns(frac_area, df = 3)2",-112.391362031602
EBA,Evapo,6,"ns(frac_area, df = 3)3",-48.4449743679839
EBA,Evapo,6,"TipoSF_early:ns(frac_area, df = 3)1",185.571602691212
EBA,Evapo,6,"TipoSF_intermediate:ns(frac_area, df = 3)1",191.342508948448
EBA,Evapo,6,"TipoSF_advanced:ns(frac_area, df = 3)1",190.56234006397
EBA,Evapo,6,"TipoSF_early:ns(frac_area, df = 3)2",282.438243944316
EBA,Evapo,6,"TipoSF_intermediate:ns(frac_area, df = 3)2",285.811416418414
EBA,Evapo,6,"TipoSF_advanced:ns(frac_area, df = 3)2",296.218696009383
EBA,Evapo,6,"TipoSF_early:ns(frac_area, df = 3)3",169.743748729641
EBA,Evapo,6,"TipoSF_intermediate:ns(frac_area, df = 3)3",180.849567088156
EBA,Evapo,6,"TipoSF_advanced:ns(frac_area, df = 3)3",171.744995125375
EBA,Evapo,7,(Intercept),1586.33850949009
EBA,Evapo,7,TipoSF_early,-128.327719571253
EBA,Evapo,7,TipoSF_intermediate,-138.307235065677
EBA,Evapo,7,TipoSF_advanced,-144.051462021243
EBA,Evapo,7,"ns(frac_area, df = 3)1",-115.895334461108
EBA,Evapo,7,"ns(frac_area, df = 3)2",-118.49183168369
EBA,Evapo,7,"ns(frac_area, df = 3)3",-58.0808586811876
EBA,Evapo,7,"TipoSF_early:ns(frac_area, df = 3)1",190.130290678861
EBA,Evapo,7,"TipoSF_intermediate:ns(frac_area, df = 3)1",198.557232973968
EBA,Evapo,7,"TipoSF_advanced:ns(frac_area, df = 3)1",209.791314222316
EBA,Evapo,7,"TipoSF_early:ns(frac_area, df = 3)2",290.33404225632
EBA,Evapo,7,"TipoSF_intermediate:ns(frac_area, df = 3)2",298.730833756107
EBA,Evapo,7,"TipoSF_advanced:ns(frac_area, df = 3)2",324.620269237828
EBA,Evapo,7,"TipoSF_early:ns(frac_area, df = 3)3",187.371812458445
EBA,Evapo,7,"TipoSF_intermediate:ns(frac_area, df = 3)3",196.150810540284
EBA,Evapo,7,"TipoSF_advanced:ns(frac_area, df = 3)3",196.807787610671
EBA,Evapo,8,(Intercept),1573.33628082445
EBA,Evapo,8,TipoSF_early,-132.801563041877
EBA,Evapo,8,TipoSF_intermediate,-136.339301751911
EBA,Evapo,8,TipoSF_advanced,-133.82074679864
EBA,Evapo,8,"ns(frac_area, df = 3)1",-118.077348531058
EBA,Evapo,8,"ns(frac_area, df = 3)2",-123.507158217282
EBA,Evapo,8,"ns(frac_area, df = 3)3",-51.0914910190767
EBA,Evapo,8,"TipoSF_early:ns(frac_area, df = 3)1",190.672377656869
EBA,Evapo,8,"TipoSF_intermediate:ns(frac_area, df = 3)1",197.980909553957
EBA,Evapo,8,"TipoSF_advanced:ns(frac_area, df = 3)1",199.188927162915
EBA,Evapo,8,"TipoSF_early:ns(frac_area, df = 3)2",302.545371062204
EBA,Evapo,8,"TipoSF_intermediate:ns(frac_area, df = 3)2",295.626764900367
EBA,Evapo,8,"TipoSF_advanced:ns(frac_area, df = 3)2",291.164282486558
EBA,Evapo,8,"TipoSF_early:ns(frac_area, df = 3)3",171.366592908592
EBA,Evapo,8,"TipoSF_intermediate:ns(frac_area, df = 3)3",185.461705712741
EBA,Evapo,8,"TipoSF_advanced:ns(frac_area, df = 3)3",188.149772970026
EBA,Evapo,9,(Intercept),1581.17699071824
EBA,Evapo,9,TipoSF_early,-128.265740870891
EBA,Evapo,9,TipoSF_intermediate,-134.496250035602
EBA,Evapo,9,TipoSF_advanced,-133.088720640351
EBA,Evapo,9,"ns(frac_area, df = 3)1",-113.391974998286
EBA,Evapo,9,"ns(frac_area, df = 3)2",-124.838791640405
EBA,Evapo,9,"ns(frac_area, df = 3)3",-55.0073215719642
EBA,Evapo,9,"TipoSF_early:ns(frac_area, df = 3)1",186.337004906428
EBA,Evapo,9,"TipoSF_intermediate:ns(frac_area, df = 3)1",188.330626748552
EBA,Evapo,9,"TipoSF_advanced:ns(frac_area, df = 3)1",189.201037104661
EBA,Evapo,9,"TipoSF_early:ns(frac_area, df = 3)2",296.684742731543
EBA,Evapo,9,"TipoSF_intermediate:ns(frac_area, df = 3)2",299.678584430816
EBA,Evapo,9,"TipoSF_advanced:ns(frac_area, df = 3)2",302.891158283291
EBA,Evapo,9,"TipoSF_early:ns(frac_area, df = 3)3",180.136607870437
EBA,Evapo,9,"TipoSF_intermediate:ns(frac_area, df = 3)3",193.941376353359
EBA,Evapo,9,"TipoSF_advanced:ns(frac_area, df = 3)3",190.777968823302
EBA,Evapo,10,(Intercept),1592.12777511136
EBA,Evapo,10,TipoSF_early,-132.152764500699
EBA,Evapo,10,TipoSF_intermediate,-132.553869459289
EBA,Evapo,10,TipoSF_advanced,-140.952724668901
EBA,Evapo,10,"ns(frac_area, df = 3)1",-111.915714908731
EBA,Evapo,10,"ns(frac_area, df = 3)2",-134.428047218318
EBA,Evapo,10,"ns(frac_area, df = 3)3",-53.1497229768052
EBA,Evapo,10,"TipoSF_early:ns(frac_area, df = 3)1",185.193538131461
EBA,Evapo,10,"TipoSF_intermediate:ns(frac_area, df = 3)1",187.275768860066
EBA,Evapo,10,"TipoSF_advanced:ns(frac_area, df = 3)1",181.30493014057
EBA,Evapo,10,"TipoSF_early:ns(frac_area, df = 3)2",308.094100726403
EBA,Evapo,10,"TipoSF_intermediate:ns(frac_area, df = 3)2",289.945103391069
EBA,Evapo,10,"TipoSF_advanced:ns(frac_area, df = 3)2",316.906188193026
EBA,Evapo,10,"TipoSF_early:ns(frac_area, df = 3)3",172.739837812263
EBA,Evapo,10,"TipoSF_intermediate:ns(frac_area, df = 3)3",190.022524321605
EBA,Evapo,10,"TipoSF_advanced:ns(frac_area, df = 3)3",188.641417828686
EBA,Evapo,11,(Intercept),1574.74068959332
EBA,Evapo,11,TipoSF_early,-122.473951301352
EBA,Evapo,11,TipoSF_intermediate,-124.512258391966
EBA,Evapo,11,TipoSF_advanced,-125.862955079696
EBA,Evapo,11,"ns(frac_area, df = 3)1",-107.963157535035
EBA,Evapo,11,"ns(frac_area, df = 3)2",-104.210541032508
EBA,Evapo,11,"ns(frac_area, df = 3)3",-52.0129493053391
EBA,Evapo,11,"TipoSF_early:ns(frac_area, df = 3)1",186.026225879007
EBA,Evapo,11,"TipoSF_intermediate:ns(frac_area, df = 3)1",197.243094603305
EBA,Evapo,11,"TipoSF_advanced:ns(frac_area, df = 3)1",183.450366069016
EBA,Evapo,11,"TipoSF_early:ns(frac_area, df = 3)2",287.108305986283
EBA,Evapo,11,"TipoSF_intermediate:ns(frac_area, df = 3)2",270.961313594483
EBA,Evapo,11,"TipoSF_advanced:ns(frac_area, df = 3)2",282.4886547251
EBA,Evapo,11,"TipoSF_early:ns(frac_area, df = 3)3",175.133915823373
EBA,Evapo,11,"TipoSF_intermediate:ns(frac_area, df = 3)3",185.398875179026
EBA,Evapo,11,"TipoSF_advanced:ns(frac_area, df = 3)3",183.110318505927
EBA,Evapo,12,(Intercept),1575.79804454564
EBA,Evapo,12,TipoSF_early,-123.770593748275
EBA,Evapo,12,TipoSF_intermediate,-136.94635934724
EBA,Evapo,12,TipoSF_advanced,-139.770681131939
EBA,Evapo,12,"ns(frac_area, df = 3)1",-113.618613903824
EBA,Evapo,12,"ns(frac_area, df = 3)2",-108.297207458313
EBA,Evapo,12,"ns(frac_area, df = 3)3",-59.3483770475672
EBA,Evapo,12,"TipoSF_early:ns(frac_area, df = 3)1",194.474696729667
EBA,Evapo,12,"TipoSF_intermediate:ns(frac_area, df = 3)1",196.060873779795
EBA,Evapo,12,"TipoSF_advanced:ns(frac_area, df = 3)1",197.962076512687
EBA,Evapo,12,"TipoSF_early:ns(frac_area, df = 3)2",291.947547892527
EBA,Evapo,12,"TipoSF_intermediate:ns(frac_area, df = 3)2",302.322038631709
EBA,Evapo,12,"TipoSF_advanced:ns(frac_area, df = 3)2",318.259461369782
EBA,Evapo,12,"TipoSF_early:ns(frac_area, df = 3)3",183.271363414347
EBA,Evapo,12,"TipoSF_intermediate:ns(frac_area, df = 3)3",200.360591524246
EBA,Evapo,12,"TipoSF_advanced:ns(frac_area, df = 3)3",207.844609522088
EBA,Evapo,13,(Intercept),1593.26020921455
EBA,Evapo,13,TipoSF_early,-135.716017170758
EBA,Evapo,13,TipoSF_intermediate,-138.407770257947
EBA,Evapo,13,TipoSF_advanced,-142.636072656581
EBA,Evapo,13,"ns(frac_area, df = 3)1",-116.507490294486
EBA,Evapo,13,"ns(frac_area, df = 3)2",-128.541117258374
EBA,Evapo,13,"ns(frac_area, df = 3)3",-54.4356665692233
EBA,Evapo,13,"TipoSF_early:ns(frac_area, df = 3)1",181.736608380877
EBA,Evapo,13,"TipoSF_intermediate:ns(frac_area, df = 3)1",191.158120507473
EBA,Evapo,13,"TipoSF_advanced:ns(frac_area, df = 3)1",203.618287194522
EBA,Evapo,13,"TipoSF_early:ns(frac_area, df = 3)2",317.031899849478
EBA,Evapo,13,"TipoSF_intermediate:ns(frac_area, df = 3)2",304.100229778888
EBA,Evapo,13,"TipoSF_advanced:ns(frac_area, df = 3)2",321.235540557228
EBA,Evapo,13,"TipoSF_early:ns(frac_area, df = 3)3",184.851736828149
EBA,Evapo,13,"TipoSF_intermediate:ns(frac_area, df = 3)3",189.141923795965
EBA,Evapo,13,"TipoSF_advanced:ns(frac_area, df = 3)3",186.106747916321
EBA,Evapo,14,(Intercept),1597.14192377381
EBA,Evapo,14,TipoSF_early,-137.317817448489
EBA,Evapo,14,TipoSF_intermediate,-138.60792829234
EBA,Evapo,14,TipoSF_advanced,-136.509195727109
EBA,Evapo,14,"ns(frac_area, df = 3)1",-115.708500036429
EBA,Evapo,14,"ns(frac_area, df = 3)2",-121.025106561614
EBA,Evapo,14,"ns(frac_area, df = 3)3",-56.8908731530641
EBA,Evapo,14,"TipoSF_early:ns(frac_area, df = 3)1",196.824657109008
EBA,Evapo,14,"TipoSF_intermediate:ns(frac_area, df = 3)1",203.250239604187
EBA,Evapo,14,"TipoSF_advanced:ns(frac_area, df = 3)1",197.446014789767
EBA,Evapo,14,"TipoSF_early:ns(frac_area, df = 3)2",311.298072414553
EBA,Evapo,14,"TipoSF_intermediate:ns(frac_area, df = 3)2",302.751203457921
EBA,Evapo,14,"TipoSF_advanced:ns(frac_area, df = 3)2",301.958864268701
EBA,Evapo,14,"TipoSF_early:ns(frac_area, df = 3)3",182.100392102144
EBA,Evapo,14,"TipoSF_intermediate:ns(frac_area, df = 3)3",191.516262551799
EBA,Evapo,14,"TipoSF_advanced:ns(frac_area, df = 3)3",187.999391865841
EBA,Evapo,15,(Intercept),1597.97155146311
EBA,Evapo,15,TipoSF_early,-141.494714387783
EBA,Evapo,15,TipoSF_intermediate,-150.004949191858
EBA,Evapo,15,TipoSF_advanced,-152.240165282288
EBA,Evapo,15,"ns(frac_area, df = 3)1",-120.659783203548
EBA,Evapo,15,"ns(frac_area, df = 3)2",-143.776700653935
EBA,Evapo,15,"ns(frac_area, df = 3)3",-55.4663939287338
EBA,Evapo,15,"TipoSF_early:ns(frac_area, df = 3)1",201.234383129672
EBA,Evapo,15,"TipoSF_intermediate:ns(frac_area, df = 3)1",205.920735543221
EBA,Evapo,15,"TipoSF_advanced:ns(frac_area, df = 3)1",205.077927701737
EBA,Evapo,15,"TipoSF_early:ns(frac_area, df = 3)2",332.87760762257
EBA,Evapo,15,"TipoSF_intermediate:ns(frac_area, df = 3)2",333.696636183515
EBA,Evapo,15,"TipoSF_advanced:ns(frac_area, df = 3)2",343.723293533825
EBA,Evapo,15,"TipoSF_early:ns(frac_area, df = 3)3",194.466382569704
EBA,Evapo,15,"TipoSF_intermediate:ns(frac_area, df = 3)3",204.429490581485
EBA,Evapo,15,"TipoSF_advanced:ns(frac_area, df = 3)3",205.388653498547
EBA,Evapo,16,(Intercept),1582.40676014965
EBA,Evapo,16,TipoSF_early,-128.533390744642
EBA,Evapo,16,TipoSF_intermediate,-133.763436740692
EBA,Evapo,16,TipoSF_advanced,-137.334946246304
EBA,Evapo,16,"ns(frac_area, df = 3)1",-101.728004602659
EBA,Evapo,16,"ns(frac_area, df = 3)2",-125.588625436893
EBA,Evapo,16,"ns(frac_area, df = 3)3",-54.0552949600787
EBA,Evapo,16,"TipoSF_early:ns(frac_area, df = 3)1",178.805960052102
EBA,Evapo,16,"TipoSF_intermediate:ns(frac_area, df = 3)1",178.43668653504
EBA,Evapo,16,"TipoSF_advanced:ns(frac_area, df = 3)1",180.574104507591
EBA,Evapo,16,"TipoSF_early:ns(frac_area, df = 3)2",297.469679219722
EBA,Evapo,16,"TipoSF_intermediate:ns(frac_area, df = 3)2",299.496435892084
EBA,Evapo,16,"TipoSF_advanced:ns(frac_area, df = 3)2",312.985702697455
EBA,Evapo,16,"TipoSF_early:ns(frac_area, df = 3)3",177.557382885393
EBA,Evapo,16,"TipoSF_intermediate:ns(frac_area, df = 3)3",187.186753999886
EBA,Evapo,16,"TipoSF_advanced:ns(frac_area, df = 3)3",182.841069711272
EBA,Evapo,17,(Intercept),1574.01982078179
EBA,Evapo,17,TipoSF_early,-116.078896316675
EBA,Evapo,17,TipoSF_intermediate,-124.446993924995
EBA,Evapo,17,TipoSF_advanced,-123.929372965396
EBA,Evapo,17,"ns(frac_area, df = 3)1",-112.134793696282
EBA,Evapo,17,"ns(frac_area, df = 3)2",-97.335438926262
EBA,Evapo,17,"ns(frac_area, df = 3)3",-48.6671038118342
EBA,Evapo,17,"TipoSF_early:ns(frac_area, df = 3)1",193.912116143792
EBA,Evapo,17,"TipoSF_intermediate:ns(frac_area, df = 3)1",194.306771899022
EBA,Evapo,17,"TipoSF_advanced:ns(frac_area, df = 3)1",192.47151078721
EBA,Evapo,17,"TipoSF_early:ns(frac_area, df = 3)2",260.667112629666
