region;response;Ano;median;lower;upper;n_runs
SBA;Evapo;2001;-69,1164538528898;-74,3205586405033;-63,6877034454998;30
SBA;Evapo;2002;-158,467664715221;-161,815757548898;-152,926042362295;30
SBA;Evapo;2003;31,4626149869659;28,8336352569741;33,8565662866567;30
SBA;Evapo;2004;1,03180675307588;-1,0796013823926;4,91801490972457;30
SBA;Evapo;2005;-4,55330937574565;-6,44025529555176;-1,74965785085796;30
SBA;Evapo;2006;41,0265553722464;38,7568848272007;42,6303623432255;30
SBA;Evapo;2007;-15,5195150861727;-18,7849242530007;-13,9974089439171;30
SBA;Evapo;2008;-16,7979462622366;-18,3948751110541;-14,9463980213862;30
SBA;Evapo;2009;43,9320255028631;41,3344429933266;46,3754780021691;30
SBA;Evapo;2010;1,75845564930211;-0,710666802683295;3,97945013284548;30
SBA;Evapo;2011;-14,4992911868799;-16,1957510969754;-12,581579553149;30
SBA;Evapo;2012;6,33718677140245;5,19513825279245;8,32163316885281;30
SBA;Evapo;2013;29,2762438414436;26,955396307317;31,4536615950649;30
SBA;Evapo;2014;22,5889346106872;19,6199298223167;24,4879350176098;30
SBA;Evapo;2015;17,2529938916817;15,8523112758394;19,1668424953562;30
SBA;Evapo;2016;38,7210470571506;36,8168416936832;40,529309005147;30
SBA;Evapo;2017;0,550312015782754;-0,998794633765106;2,53164347480645;30
SBA;Evapo;2018;42,3877773236937;40,2147839261311;44,563444110016;30
SBA;Evapo;2019;43,0314409173081;40,7241356014857;44,4778674696016;30
SBA;Evapo;2020;-10,3444630621104;-12,5844902370567;-7,91596098640325;30
SBA;Evapo;2021;-29,5634032160468;-31,3566927094873;-27,2390464331533;30
