region;response;Ano;median;lower;upper;n_runs
CBA;Prec;2001;-202,874416925291;-206,123325614187;-198,073497475217;30
CBA;Prec;2002;-131,255099179211;-136,16454868115;-125,318895398825;30
CBA;Prec;2003;-232,115684346657;-236,712823624828;-226,943045651843;30
CBA;Prec;2004;-98,4069973419614;-102,941307527023;-95,7759944277446;30
CBA;Prec;2005;87,5900967047654;79,7339043084159;92,9642697205094;30
CBA;Prec;2006;156,91690396129;150,348531543015;161,148246164658;30
CBA;Prec;2007;50,7184656287923;44,192831290785;57,7055827637019;30
CBA;Prec;2008;290,288222511263;283,121566488227;296,193606823534;30
CBA;Prec;2009;-100,545165159947;-107,168230953752;-93,7652101599177;30
CBA;Prec;2010;-65,2032246673782;-70,1540555123254;-56,2594493936953;30
CBA;Prec;2011;145,610926519579;139,901048985921;153,540118716878;30
CBA;Prec;2012;-26,6743723279369;-32,9527008883535;-22,7810155039661;30
CBA;Prec;2013;242,367967379592;237,281523246616;250,199582564102;30
CBA;Prec;2014;-63,9540595909469;-71,5971951843066;-55,0356036433021;30
CBA;Prec;2015;-509,528840065527;-516,161371604417;-504,179907988629;30
CBA;Prec;2016;47,6066754215467;42,1123889504105;54,4072960282639;30
CBA;Prec;2017;43,8998340102623;36,791719571299;49,0152911123792;30
CBA;Prec;2018;-48,7602426421074;-52,6104684083572;-45,7476504929102;30
CBA;Prec;2019;137,18830810139;131,312107202017;144,833014808866;30
CBA;Prec;2020;-104,350383284878;-110,109311831284;-96,10957068262;30
CBA;Prec;2021;380,359916650768;375,283628033259;385,9342210849;30
