frac_area,Tipo,pred,region,response,run
0.01,PF,2311.6616972593,CBA,Prec,1
0.0149748743718593,PF,2311.70324444745,CBA,Prec,1
0.0199497487437186,PF,2311.74478019717,CBA,Prec,1
0.0249246231155779,PF,2311.78629307001,CBA,Prec,1
0.0298994974874372,PF,2311.82777162752,CBA,Prec,1
0.0348743718592965,PF,2311.86920443129,CBA,Prec,1
0.0398492462311558,PF,2311.91058004286,CBA,Prec,1
0.0448241206030151,PF,2311.95188702379,CBA,Prec,1
0.0497989949748744,PF,2311.99311393564,CBA,Prec,1
0.0547738693467337,PF,2312.03424933999,CBA,Prec,1
0.059748743718593,PF,2312.07528179838,CBA,Prec,1
0.0647236180904523,PF,2312.11619987237,CBA,Prec,1
0.0696984924623116,PF,2312.15699212354,CBA,Prec,1
0.0746733668341709,PF,2312.19764711343,CBA,Prec,1
0.0796482412060302,PF,2312.23815340362,CBA,Prec,1
0.0846231155778894,PF,2312.27849955565,CBA,Prec,1
0.0895979899497487,PF,2312.3186741311,CBA,Prec,1
0.094572864321608,PF,2312.35866569152,CBA,Prec,1
0.0995477386934673,PF,2312.39846279847,CBA,Prec,1
0.104522613065327,PF,2312.43805401352,CBA,Prec,1
0.109497487437186,PF,2312.47742789822,CBA,Prec,1
0.114472361809045,PF,2312.51657301414,CBA,Prec,1
0.119447236180905,PF,2312.55547792283,CBA,Prec,1
0.124422110552764,PF,2312.59413118586,CBA,Prec,1
0.129396984924623,PF,2312.63252136479,CBA,Prec,1
0.134371859296482,PF,2312.67063702117,CBA,Prec,1
0.139346733668342,PF,2312.70846671657,CBA,Prec,1
0.144321608040201,PF,2312.74599901256,CBA,Prec,1
0.14929648241206,PF,2312.78322247068,CBA,Prec,1
0.15427135678392,PF,2312.82012565251,CBA,Prec,1
0.159246231155779,PF,2312.8566971196,CBA,Prec,1
0.164221105527638,PF,2312.89292543351,CBA,Prec,1
0.169195979899498,PF,2312.9287991558,CBA,Prec,1
0.174170854271357,PF,2312.96430684804,CBA,Prec,1
0.179145728643216,PF,2312.99943707179,CBA,Prec,1
0.184120603015075,PF,2313.0341783886,CBA,Prec,1
0.189095477386935,PF,2313.06851936004,CBA,Prec,1
0.194070351758794,PF,2313.10244854766,CBA,Prec,1
0.199045226130653,PF,2313.13595451304,CBA,Prec,1
0.204020100502513,PF,2313.16902581772,CBA,Prec,1
0.208994974874372,PF,2313.20165102327,CBA,Prec,1
0.213969849246231,PF,2313.23381869125,CBA,Prec,1
0.21894472361809,PF,2313.26551738323,CBA,Prec,1
0.22391959798995,PF,2313.29673566076,CBA,Prec,1
0.228894472361809,PF,2313.3274620854,CBA,Prec,1
0.233869346733668,PF,2313.35768521871,CBA,Prec,1
0.238844221105528,PF,2313.38739362226,CBA,Prec,1
0.243819095477387,PF,2313.4165758576,CBA,Prec,1
0.248793969849246,PF,2313.4452204863,CBA,Prec,1
0.253768844221106,PF,2313.47331606991,CBA,Prec,1
0.258743718592965,PF,2313.50085117001,CBA,Prec,1
0.263718592964824,PF,2313.52781434814,CBA,Prec,1
0.268693467336683,PF,2313.55419416587,CBA,Prec,1
0.273668341708543,PF,2313.57997918476,CBA,Prec,1
0.278643216080402,PF,2313.60515796637,CBA,Prec,1
0.283618090452261,PF,2313.62971907226,CBA,Prec,1
0.288592964824121,PF,2313.653651064,CBA,Prec,1
0.29356783919598,PF,2313.67694250313,CBA,Prec,1
0.298542713567839,PF,2313.69958195124,CBA,Prec,1
0.303517587939699,PF,2313.72155796986,CBA,Prec,1
0.308492462311558,PF,2313.74285912057,CBA,Prec,1
0.313467336683417,PF,2313.76347396493,CBA,Prec,1
0.318442211055276,PF,2313.78339106449,CBA,Prec,1
