permutation,n_runs,estimate,contrast,cover_value
5,18,3.51611900165153,PF − SF[e],0.25
5,19,3.41977705711133,PF − SF[e],0.25
5,20,3.51611900165153,PF − SF[e],0.25
5,21,3.53263208882208,PF − SF[e],0.25
5,22,3.57254651750691,PF − SF[e],0.25
5,23,3.61246094619173,PF − SF[e],0.25
5,24,3.97400291825397,PF − SF[e],0.25
5,25,3.61246094619173,PF − SF[e],0.25
5,26,3.97400291825397,PF − SF[e],0.25
5,27,3.61246094619173,PF − SF[e],0.25
5,28,3.57254651750691,PF − SF[e],0.25
5,29,3.61246094619173,PF − SF[e],0.25
5,30,3.7387473526835,PF − SF[e],0.25
6,2,5.5270668239898,PF − SF[e],0.25
6,3,4.68176427977005,PF − SF[e],0.25
6,4,4.05077066844069,PF − SF[e],0.25
6,5,4.68176427977005,PF − SF[e],0.25
6,6,4.61700602338601,PF − SF[e],0.25
6,7,4.55224776700197,PF − SF[e],0.25
6,8,4.44389632865909,PF − SF[e],0.25
6,9,4.33554489031621,PF − SF[e],0.25
6,10,3.87766097371377,PF − SF[e],0.25
6,11,4.33554489031621,PF − SF[e],0.25
6,12,4.44389632865909,PF − SF[e],0.25
6,13,4.33554489031621,PF − SF[e],0.25
6,14,4.10028932474575,PF − SF[e],0.25
6,15,3.86503375917528,PF − SF[e],0.25
6,16,4.10028932474575,PF − SF[e],0.25
6,17,3.86503375917528,PF − SF[e],0.25
6,18,4.10028932474575,PF − SF[e],0.25
6,19,3.86503375917528,PF − SF[e],0.25
6,20,4.10028932474575,PF − SF[e],0.25
6,21,3.86503375917528,PF − SF[e],0.25
6,22,3.64240540814331,PF − SF[e],0.25
6,23,3.86503375917528,PF − SF[e],0.25
6,24,4.10028932474575,PF − SF[e],0.25
6,25,3.86503375917528,PF − SF[e],0.25
6,26,4.10028932474575,PF − SF[e],0.25
6,27,3.86503375917528,PF − SF[e],0.25
6,28,3.7387473526835,PF − SF[e],0.25
6,29,3.61246094619173,PF − SF[e],0.25
6,30,3.7387473526835,PF − SF[e],0.25
7,2,2.02968788950762,PF − SF[e],0.25
7,3,2.79148831733028,PF − SF[e],0.25
7,4,2.02968788950762,PF − SF[e],0.25
7,5,2.79148831733028,PF − SF[e],0.25
7,6,3.04243047857495,PF − SF[e],0.25
7,7,3.29337263981961,PF − SF[e],0.25
7,8,3.35657484846547,PF − SF[e],0.25
7,9,3.29337263981961,PF − SF[e],0.25
7,10,3.35657484846547,PF − SF[e],0.25
7,11,3.29337263981961,PF − SF[e],0.25
7,12,3.35657484846547,PF − SF[e],0.25
7,13,3.41977705711133,PF − SF[e],0.25
7,14,3.64240540814331,PF − SF[e],0.25
7,15,3.41977705711133,PF − SF[e],0.25
7,16,3.64240540814331,PF − SF[e],0.25
7,17,3.41977705711133,PF − SF[e],0.25
7,18,3.64240540814331,PF − SF[e],0.25
7,19,3.41977705711133,PF − SF[e],0.25
7,20,3.47620457296671,PF − SF[e],0.25
7,21,3.53263208882208,PF − SF[e],0.25
7,22,3.47620457296671,PF − SF[e],0.25
7,23,3.41977705711133,PF − SF[e],0.25
7,24,3.47620457296671,PF − SF[e],0.25
7,25,3.53263208882208,PF − SF[e],0.25
7,26,3.69883292399868,PF − SF[e],0.25
7,27,3.53263208882208,PF − SF[e],0.25
7,28,3.69883292399868,PF − SF[e],0.25
7,29,3.86503375917528,PF − SF[e],0.25
7,30,3.7387473526835,PF − SF[e],0.25
8,2,10.8475899404493,PF − SF[e],0.25
8,3,9.92773517670821,PF − SF[e],0.25
8,4,9.2172789915835,PF − SF[e],0.25
8,5,8.50682280645879,PF − SF[e],0.25
8,6,7.70654448590017,PF − SF[e],0.25
8,7,6.90626616534155,PF − SF[e],0.25
8,8,6.19478185600474,PF − SF[e],0.25
8,9,6.90626616534155,PF − SF[e],0.25
8,10,6.19478185600474,PF − SF[e],0.25
8,11,5.48329754666793,PF − SF[e],0.25
8,12,5.01777265683495,PF − SF[e],0.25
8,13,4.55224776700197,PF − SF[e],0.25
8,14,4.44389632865909,PF − SF[e],0.25
8,15,4.33554489031621,PF − SF[e],0.25
8,16,4.10028932474575,PF − SF[e],0.25
8,17,4.33554489031621,PF − SF[e],0.25
8,18,4.10028932474575,PF − SF[e],0.25
8,19,4.33554489031621,PF − SF[e],0.25
8,20,4.10028932474575,PF − SF[e],0.25
8,21,4.33554489031621,PF − SF[e],0.25
8,22,4.44389632865909,PF − SF[e],0.25
8,23,4.55224776700197,PF − SF[e],0.25
8,24,4.44389632865909,PF − SF[e],0.25
8,25,4.33554489031621,PF − SF[e],0.25
8,26,4.10028932474575,PF − SF[e],0.25
8,27,3.86503375917528,PF − SF[e],0.25
8,28,3.7387473526835,PF − SF[e],0.25
8,29,3.61246094619173,PF − SF[e],0.25
8,30,3.7387473526835,PF − SF[e],0.25
9,2,0.605482416766565,PF − SF[e],0.25
9,3,3.29337263981961,PF − SF[e],0.25
9,4,3.04243047857495,PF − SF[e],0.25
9,5,3.29337263981961,PF − SF[e],0.25
9,6,4.71793612804004,PF − SF[e],0.25
9,7,6.14249961626047,PF − SF[e],0.25
9,8,4.71793612804004,PF − SF[e],0.25
9,9,3.61246094619173,PF − SF[e],0.25
9,10,3.45291679300567,PF − SF[e],0.25
9,11,3.61246094619173,PF − SF[e],0.25
9,12,3.45291679300567,PF − SF[e],0.25
9,13,3.61246094619173,PF − SF[e],0.25
9,14,3.45291679300567,PF − SF[e],0.25
9,15,3.61246094619173,PF − SF[e],0.25
9,16,3.7387473526835,PF − SF[e],0.25
9,17,3.61246094619173,PF − SF[e],0.25
9,18,3.57254651750691,PF − SF[e],0.25
9,19,3.53263208882208,PF − SF[e],0.25
9,20,3.47620457296671,PF − SF[e],0.25
9,21,3.53263208882208,PF − SF[e],0.25
9,22,3.57254651750691,PF − SF[e],0.25
9,23,3.61246094619173,PF − SF[e],0.25
9,24,3.57254651750691,PF − SF[e],0.25
9,25,3.53263208882208,PF − SF[e],0.25
9,26,3.47620457296671,PF − SF[e],0.25
9,27,3.53263208882208,PF − SF[e],0.25
9,28,3.57254651750691,PF − SF[e],0.25
9,29,3.61246094619173,PF − SF[e],0.25
9,30,3.7387473526835,PF − SF[e],0.25
10,2,5.72925696617176,PF − SF[e],0.25
10,3,6.90626616534155,PF − SF[e],0.25
10,4,5.72925696617176,PF − SF[e],0.25
10,5,6.90626616534155,PF − SF[e],0.25
10,6,6.280807828045,PF − SF[e],0.25
10,7,5.65534949074845,PF − SF[e],0.25
10,8,5.10379862887521,PF − SF[e],0.25
10,9,4.55224776700197,PF − SF[e],0.25
10,10,5.10379862887521,PF − SF[e],0.25
10,11,5.65534949074845,PF − SF[e],0.25
10,12,5.10379862887521,PF − SF[e],0.25
10,13,4.55224776700197,PF − SF[e],0.25
10,14,4.44389632865909,PF − SF[e],0.25
10,15,4.55224776700197,PF − SF[e],0.25
10,16,5.10379862887521,PF − SF[e],0.25
10,17,4.55224776700197,PF − SF[e],0.25
10,18,4.44389632865909,PF − SF[e],0.25
10,19,4.33554489031621,PF − SF[e],0.25
10,20,4.44389632865909,PF − SF[e],0.25
10,21,4.55224776700197,PF − SF[e],0.25
10,22,4.44389632865909,PF − SF[e],0.25
10,23,4.55224776700197,PF − SF[e],0.25
10,24,4.44389632865909,PF − SF[e],0.25
10,25,4.33554489031621,PF − SF[e],0.25
10,26,4.10028932474575,PF − SF[e],0.25
10,27,3.86503375917528,PF − SF[e],0.25
10,28,4.10028932474575,PF − SF[e],0.25
10,29,3.86503375917528,PF − SF[e],0.25
10,30,3.7387473526835,PF − SF[e],0.25
11,2,3.82529357400495,PF − SF[e],0.25
11,3,5.48329754666793,PF − SF[e],0.25
11,4,5.92783345743874,PF − SF[e],0.25
11,5,5.48329754666793,PF − SF[e],0.25
11,6,4.38833509324377,PF − SF[e],0.25
11,7,5.48329754666793,PF − SF[e],0.25
11,8,5.56932351870819,PF − SF[e],0.25
11,9,5.48329754666793,PF − SF[e],0.25
11,10,4.50796481774501,PF − SF[e],0.25
11,11,4.33554489031621,PF − SF[e],0.25
11,12,3.93408848956915,PF − SF[e],0.25
11,13,3.53263208882208,PF − SF[e],0.25
11,14,3.47620457296671,PF − SF[e],0.25
11,15,3.53263208882208,PF − SF[e],0.25
11,16,3.93408848956915,PF − SF[e],0.25
11,17,3.53263208882208,PF − SF[e],0.25
11,18,3.93408848956915,PF − SF[e],0.25
11,19,4.33554489031621,PF − SF[e],0.25
11,20,3.93408848956915,PF − SF[e],0.25
11,21,3.61246094619173,PF − SF[e],0.25
11,22,3.57254651750691,PF − SF[e],0.25
11,23,3.53263208882208,PF − SF[e],0.25
