region;response;contrast_type;frac_plot;frac_bin;stage;median;lower;upper;n_runs
SBA;Temp;Spatially adjusted;0,333265;;SF[e];-0,178393017274221;-0,206342494024042;-0,146709204336462;30
SBA;Temp;Spatially adjusted;0,333265;;SF[i];-0,228433958422974;-0,251097111191078;-0,197745674749604;30
SBA;Temp;Spatially adjusted;0,333265;;SF[a];-0,272078009852751;-0,299979447566168;-0,233297226869062;30
SBA;Temp;Spatially adjusted;0,353469;;SF[e];-0,144311640936762;-0,171095121062483;-0,11410762796455;30
SBA;Temp;Spatially adjusted;0,353469;;SF[i];-0,192514989577587;-0,21400304762951;-0,163168550380619;30
SBA;Temp;Spatially adjusted;0,353469;;SF[a];-0,236414156178068;-0,264395773126409;-0,199112153362992;30
SBA;Temp;Spatially adjusted;0,373673;;SF[e];-0,110626329759955;-0,135136141090809;-0,0817487250887041;30
SBA;Temp;Spatially adjusted;0,373673;;SF[i];-0,156449396075553;-0,177393654048353;-0,128312573366056;30
SBA;Temp;Spatially adjusted;0,373673;;SF[a];-0,200286704453627;-0,227491828588702;-0,165355673730786;30
SBA;Temp;Spatially adjusted;0,393878;;SF[e];-0,0746405434527802;-0,0986757349876719;-0,0497236931756725;30
SBA;Temp;Spatially adjusted;0,393878;;SF[i];-0,120271665648444;-0,140133454671211;-0,0933289063400809;30
SBA;Temp;Spatially adjusted;0,393878;;SF[a];-0,163850266697505;-0,188848714266844;-0,132728782078771;30
SBA;Temp;Spatially adjusted;0,414082;;SF[e];-0,0385777231008877;-0,0619240836317183;-0,0181237296922034;30
SBA;Temp;Spatially adjusted;0,414082;;SF[i];-0,0842562953855505;-0,102420466418242;-0,0583687119368644;30
SBA;Temp;Spatially adjusted;0,414082;;SF[a];-0,126127359502684;-0,149505230853605;-0,0987001880524623;30
SBA;Temp;Spatially adjusted;0,434286;;SF[e];-0,00200301354341548;-0,0250913679016016;0,0135811830896811;30
SBA;Temp;Spatially adjusted;0,434286;;SF[i];-0,047980200662062;-0,064452706209612;-0,0235831527905739;30
SBA;Temp;Spatially adjusted;0,434286;;SF[a];-0,0879117024276628;-0,109720758976811;-0,0646128202716214;30
SBA;Temp;Spatially adjusted;0,45449;;SF[e];0,0315698920275179;0,0116122313240286;0,0452529167851181;30
SBA;Temp;Spatially adjusted;0,45449;;SF[i];-0,0104351327400387;-0,0265803976973811;0,0108766084646197;30
SBA;Temp;Spatially adjusted;0,45449;;SF[a];-0,0487957459416837;-0,0697546792642968;-0,0295395014852294;30
SBA;Temp;Spatially adjusted;0,474694;;SF[e];0,0654773364394324;0,0454738012156893;0,0798367821932651;30
SBA;Temp;Spatially adjusted;0,474694;;SF[i];0,027235677730264;0,00897587842263176;0,0448594091945554;30
SBA;Temp;Spatially adjusted;0,474694;;SF[a];-0,0123313930878624;-0,0319006510349915;0,00677766075833421;30
SBA;Temp;Spatially adjusted;0,494898;;SF[e];0,0975747589275056;0,0769315466176373;0,113334846567163;30
SBA;Temp;Spatially adjusted;0,494898;;SF[i];0,0634434417728631;0,0423657030099912;0,0800188117015144;30
SBA;Temp;Spatially adjusted;0,494898;;SF[a];0,0247410089343649;0,00404669261451067;0,0426666325706944;30
SBA;Temp;Spatially adjusted;0,515102;;SF[e];0,128390374933867;0,109886684095605;0,145817933772781;30
SBA;Temp;Spatially adjusted;0,515102;;SF[i];0,0987148801104549;0,0751637992788737;0,113713242777047;30
SBA;Temp;Spatially adjusted;0,515102;;SF[a];0,0594295124768501;0,0393289205873952;0,0798702520938122;30
SBA;Temp;Spatially adjusted;0,535306;;SF[e];0,159235230284344;0,141140014202139;0,179851131560464;30
SBA;Temp;Spatially adjusted;0,535306;;SF[i];0,133145103148147;0,10723462289766;0,150546851332333;30
SBA;Temp;Spatially adjusted;0,535306;;SF[a];0,0929896585602883;0,0729747899614726;0,116090417221777;30
SBA;Temp;Spatially adjusted;0,55551;;SF[e];0,188884630762589;0,168161884298606;0,212757006661975;30
SBA;Temp;Spatially adjusted;0,55551;;SF[i];0,167576142522583;0,138731894044725;0,186410551235029;30
SBA;Temp;Spatially adjusted;0,55551;;SF[a];0,127569652290845;0,10395454627978;0,151839161759118;30
SBA;Temp;Spatially adjusted;0,575714;;SF[e];0,218585684927034;0,194155549188801;0,244161772145879;30
SBA;Temp;Spatially adjusted;0,575714;;SF[i];0,199404430906254;0,170575156812588;0,220833305823982;30
SBA;Temp;Spatially adjusted;0,575714;;SF[a];0,159422732204309;0,133872721354362;0,185655465381664;30
SBA;Temp;Spatially adjusted;0,595918;;SF[e];0,247464998246157;0,218535965635302;0,273862271060003;30
SBA;Temp;Spatially adjusted;0,595918;;SF[i];0,230752148830485;0,201245522140598;0,253588210085308;30
SBA;Temp;Spatially adjusted;0,595918;;SF[a];0,19166022265677;0,162601923321634;0,218623935943685;30
SBA;Temp;Spatially adjusted;0,616122;;SF[e];0,274070929966965;0,240894108305645;0,301655346452166;30
SBA;Temp;Spatially adjusted;0,616122;;SF[i];0,25853166977732;0,229325818414993;0,284525427953533;30
SBA;Temp;Spatially adjusted;0,616122;;SF[a];0,222683787510009;0,190014760318007;0,249823761177512;30
SBA;Temp;Spatially adjusted;0,636327;;SF[e];0,298428242813691;0,262026104485681;0,327337841370196;30
SBA;Temp;Spatially adjusted;0,636327;;SF[i];0,286180354806323;0,25439480216737;0,313447420502818;30
SBA;Temp;Spatially adjusted;0,636327;;SF[a];0,251733227404265;0,214613843868253;0,279023373363849;30
SBA;Temp;Spatially adjusted;0,656531;;SF[e];0,321038718573348;0,282741726162593;0,350706598861911;30
SBA;Temp;Spatially adjusted;0,656531;;SF[i];0,312259272173501;0,278048256418613;0,339980401387002;30
SBA;Temp;Spatially adjusted;0,656531;;SF[a];0,277631382306215;0,238024001111252;0,306308086415037;30
