cell_id;Lon;Lat;spatial_component;region;response;run
8570;-73,2748930214703;-7,4792095554596;-1,21288089022118;SBA;Temp;1
14892;-73,0167590485824;-7,56017618988067;-0,879322817529357;SBA;Temp;1
17696;-72,9188461623146;-7,10136526149459;-1,01465093453937;SBA;Temp;1
18699;-72,883241476399;-8,18991667982236;-1,13818789528299;SBA;Temp;1
19212;-72,8654391334412;-8,639731315495;-1,36786852243046;SBA;Temp;1
19573;-72,8565379619623;-7,86605014213807;-0,874478363870393;SBA;Temp;1
19595;-72,8565379619623;-7,61415394616139;-0,879136287239437;SBA;Temp;1
21510;-72,7942297616101;-7,88404272756497;-1,18911106089135;SBA;Temp;1
21851;-72,7853285901312;-7,18233189591566;-0,821822390674984;SBA;Temp;1
22175;-72,7675262471734;-9,3054569762905;-1,49480552921726;SBA;Temp;1
22555;-72,7586250756945;-8,2978721923838;-0,889077943908433;SBA;Temp;1
23390;-72,7319215612578;-8,00099453283986;-1,35244767131411;SBA;Temp;1
24317;-72,6963168753423;-9,06255707302728;-1,24156531277072;SBA;Temp;1
24999;-72,6785145323845;-7,62315023887484;1,686675339554;SBA;Temp;1
25298;-72,6696133609056;-7,25430223762328;-0,693269916159338;SBA;Temp;1
25801;-72,6518110179478;-7,83006497128426;-0,81061863105338;SBA;Temp;1
26376;-72,63400867499;-7,31727628661745;-0,780784739802402;SBA;Temp;1
26928;-72,6162063320322;-7,58716506802103;-0,498491292488822;SBA;Temp;1
27211;-72,6073051605533;-7,61415394616139;-0,613495618207239;SBA;Temp;1
29217;-72,5449969602011;-7,74909833686318;-0,936889419051163;SBA;Temp;1
29825;-72,5271946172433;-7,54218360445377;-1,01206386072868;SBA;Temp;1
30121;-72,5182934457644;-7,58716506802103;-1,24976190856642;SBA;Temp;1
31806;-72,4648864168911;-8,50478692479321;-1,13906178770976;SBA;Temp;1
32140;-72,4559852454122;-8,18092038710891;-1,34829022715764;SBA;Temp;1
33315;-72,4203805594966;-8,17192409439546;-1,16712906920981;SBA;Temp;1
35474;-72,3580723591443;-7,25430223762328;-1,22591690254953;SBA;Temp;1
36373;-72,3313688447077;-7,24530594490983;-1,18906124807148;SBA;Temp;1
36970;-72,3135665017499;-7,33526887204436;-0,632014183437989;SBA;Temp;1
43033;-72,1444442436509;-7,36225775018471;-0,67326467543019;SBA;Temp;1
46075;-72,0643337003409;-8,21690555796273;-1,30198433884977;SBA;Temp;1
46880;-72,0465313573831;-7,38025033561162;-1,04449511940348;SBA;Temp;1
47910;-72,0198278429464;-7,79407980043045;-0,728119436627541;SBA;Temp;1
53035;-71,886310270763;-9,96218634437255;-1,65802388256889;SBA;Temp;1
57646;-71,7794962130163;-7,12835413963494;-1,03470811445999;SBA;Temp;1
57716;-71,7705950415374;-9,72828273382278;-1,55094740492042;SBA;Temp;1
57814;-71,7705950415374;-8,84664604790441;-1,34505891648251;SBA;Temp;1
60686;-71,6993856697063;-8,66672019363536;-1,31149466389887;SBA;Temp;1
61429;-71,6815833267485;-8,2978721923838;-1,47837980744259;SBA;Temp;1
61920;-71,6726821552696;-7,06538009064078;-0,631088313750782;SBA;Temp;1
61974;-71,6637809837907;-9,76426790467659;-1,64144977140403;SBA;Temp;1
62633;-71,6548798123118;-7,03839121250042;-0,875790550656461;SBA;Temp;1
64607;-71,6014727834385;-8,60374614464119;-1,34787161906077;SBA;Temp;1
