region,response,frac_area,Tipo,median,lower,upper
SBA,Temp,0.01,PF,24.9609456035772,24.8249722840797,25.0721887511147
SBA,Temp,0.0149748743718593,PF,24.9645674296798,24.8281927496986,25.0744794816845
SBA,Temp,0.0199497487437186,PF,24.9681899818309,24.8314141133965,25.0767715925749
SBA,Temp,0.0249246231155779,PF,24.9719281606734,24.8346372732526,25.0790664641063
SBA,Temp,0.0298994974874372,PF,24.9758977703897,24.8378631273457,25.0813654765993
SBA,Temp,0.0348743718592965,PF,24.9798702931706,24.841092573755,25.0836700103744
SBA,Temp,0.0398492462311558,PF,24.9835357947436,24.8443265105595,25.0859814457521
SBA,Temp,0.0448241206030151,PF,24.9870713472528,24.8475658358382,25.0883011630529
SBA,Temp,0.0497989949748744,PF,24.9906133866942,24.8508114476701,25.0906305425974
SBA,Temp,0.0547738693467337,PF,24.9941628397723,24.8540642441344,25.0929709647061
SBA,Temp,0.059748743718593,PF,24.9977206331919,24.85732512331,25.0953238096995
SBA,Temp,0.0647236180904523,PF,25.0012876936574,24.860594983276,25.0976904578982
SBA,Temp,0.0696984924623116,PF,25.0048649478735,24.8638747221114,25.1000722896226
SBA,Temp,0.0746733668341709,PF,25.0084533225448,24.8671652378953,25.1024706851932
SBA,Temp,0.0796482412060302,PF,25.0120537443759,24.8704674287066,25.1048870249307
SBA,Temp,0.0846231155778894,PF,25.0156671400713,24.8737821926245,25.1073226891555
SBA,Temp,0.0895979899497487,PF,25.0192944363357,24.8771104277279,25.1097790581882
SBA,Temp,0.094572864321608,PF,25.0229365598737,24.880453032096,25.1122575123492
SBA,Temp,0.0995477386934673,PF,25.0265944373899,24.8838109038077,25.1147594319592
SBA,Temp,0.104522613065327,PF,25.0302689955889,24.887184940942,25.1172861973385
SBA,Temp,0.109497487437186,PF,25.0339611611752,24.8905760415781,25.1198391888078
SBA,Temp,0.114472361809045,PF,25.037564219935,24.893985103795,25.1224197866876
SBA,Temp,0.119447236180905,PF,25.0407024922456,24.8974130256716,25.1250293712983
SBA,Temp,0.124422110552764,PF,25.0438681845646,24.9008607052871,25.1276693229606
SBA,Temp,0.129396984924623,PF,25.0470625432558,24.9043290407204,25.1303410219949
SBA,Temp,0.134371859296482,PF,25.0502868146834,24.9078189300507,25.1330458487218
SBA,Temp,0.139346733668342,PF,25.0535422452112,24.9113312713569,25.1357851834617
SBA,Temp,0.144321608040201,PF,25.0568300812034,24.914866962718,25.1385604065353
SBA,Temp,0.14929648241206,PF,25.0601515690239,24.9184269022132,25.141372898263
SBA,Temp,0.15427135678392,PF,25.0637424800243,24.9220119879215,25.1442240389653
SBA,Temp,0.159246231155779,PF,25.0674699920529,24.9256231179218,25.1471152089629
SBA,Temp,0.164221105527638,PF,25.0712272769439,24.9292611902933,25.1500477885761
SBA,Temp,0.169195979899498,PF,25.0750153271262,24.9329271031149,25.1530231581255
SBA,Temp,0.174170854271357,PF,25.0788351350284,24.9366217544658,25.1560426979317
SBA,Temp,0.179145728643216,PF,25.0826876930792,24.9403460424249,25.1591077883152
SBA,Temp,0.184120603015075,PF,25.0865739937076,24.9441008650713,25.1622198095965
SBA,Temp,0.189095477386935,PF,25.0907095082843,24.947887120484,25.1653801420961
SBA,Temp,0.194070351758794,PF,25.0952026995221,24.9517057067421,25.1685901661345
SBA,Temp,0.199045226130653,PF,25.0997214802425,24.9555575219245,25.1718512620323
SBA,Temp,0.204020100502513,PF,25.104266542053,24.9594434641104,25.17516481011
SBA,Temp,0.208994974874372,PF,25.1088385765612,24.9633644313788,25.1785321906881
SBA,Temp,0.213969849246231,PF,25.1134382753748,24.9673213218087,25.1819547840871
SBA,Temp,0.21894472361809,PF,25.1180663301014,24.9713150334791,25.1854339706276
