response,response_label,unit,permutation,n_runs,estimate,contrast,cover_value,cover_label,final_estimate,estimate_centered
Prec,Precipitation,mm,2,19,-4.36935735705902,PF - SF[e],0.25,25% cover,-5.66935652462075,1.29999916756173
Prec,Precipitation,mm,2,20,-4.86899251498017,PF - SF[e],0.25,25% cover,-5.66935652462075,0.80036400964059
Prec,Precipitation,mm,2,21,-5.36862767290131,PF - SF[e],0.25,25% cover,-5.66935652462075,0.300728851719445
Prec,Precipitation,mm,2,22,-5.4478834737497,PF - SF[e],0.25,25% cover,-5.66935652462075,0.221473050871055
Prec,Precipitation,mm,2,23,-5.52713927459809,PF - SF[e],0.25,25% cover,-5.66935652462075,0.142217250022664
Prec,Precipitation,mm,2,24,-5.5815930769652,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0877634476555596
Prec,Precipitation,mm,2,25,-5.60179742414084,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0675591004799143
Prec,Precipitation,mm,2,26,-5.61892215173657,PF - SF[e],0.25,25% cover,-5.66935652462075,0.050434372884185
Prec,Precipitation,mm,2,27,-5.60179742414084,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0675591004799143
Prec,Precipitation,mm,2,28,-5.61892215173657,PF - SF[e],0.25,25% cover,-5.66935652462075,0.050434372884185
Prec,Precipitation,mm,2,29,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,2,30,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,3,2,-6.46587742926841,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.79652090464765
Prec,Precipitation,mm,3,3,-4.36935735705902,PF - SF[e],0.25,25% cover,-5.66935652462075,1.29999916756173
Prec,Precipitation,mm,3,4,-3.66699517190546,PF - SF[e],0.25,25% cover,-5.66935652462075,2.0023613527153
Prec,Precipitation,mm,3,5,-4.36935735705902,PF - SF[e],0.25,25% cover,-5.66935652462075,1.29999916756173
Prec,Precipitation,mm,3,6,-5.03601176348412,PF - SF[e],0.25,25% cover,-5.66935652462075,0.633344761136639
Prec,Precipitation,mm,3,7,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,3,8,-5.00270211819566,PF - SF[e],0.25,25% cover,-5.66935652462075,0.666654406425095
Prec,Precipitation,mm,3,9,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,3,10,-5.61892215173657,PF - SF[e],0.25,25% cover,-5.66935652462075,0.050434372884185
Prec,Precipitation,mm,3,11,-5.60179742414084,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0675591004799143
Prec,Precipitation,mm,3,12,-5.61892215173657,PF - SF[e],0.25,25% cover,-5.66935652462075,0.050434372884185
Prec,Precipitation,mm,3,13,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,3,14,-5.61892215173657,PF - SF[e],0.25,25% cover,-5.66935652462075,0.050434372884185
Prec,Precipitation,mm,3,15,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,3,16,-5.61892215173657,PF - SF[e],0.25,25% cover,-5.66935652462075,0.050434372884185
Prec,Precipitation,mm,3,17,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,3,18,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,3,19,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,3,20,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,3,21,-5.70266616990921,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.0333096452884556
Prec,Precipitation,mm,3,22,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,3,23,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,3,24,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,3,25,-5.70266616990921,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.0333096452884556
Prec,Precipitation,mm,3,26,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,3,27,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,3,28,-5.61892215173657,PF - SF[e],0.25,25% cover,-5.66935652462075,0.050434372884185
Prec,Precipitation,mm,3,29,-5.6360468793323,PF - SF[e],0.25,25% cover,-5.66935652462075,0.0333096452884547
Prec,Precipitation,mm,3,30,-5.66935652462075,PF - SF[e],0.25,25% cover,-5.66935652462075,0
Prec,Precipitation,mm,4,2,-6.74114961112081,PF - SF[e],0.25,25% cover,-5.66935652462075,-1.07179308650006
Prec,Precipitation,mm,4,3,-6.3399950765297,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.670638551908946
Prec,Precipitation,mm,4,4,-5.9335671755639,PF - SF[e],0.25,25% cover,-5.66935652462075,-0.264210650943141
Prec,Precipitation,mm,4,5,-5.52713927459809,PF - SF[e],0.25,25% cover,-5.66935652462075,0.142217250022664
