response,response_label,unit,contrast,cover_value,cover_label,n_runs,median,lower,upper
Evapo,ET,mm,PF - SF[a],0.5,50% cover,24,0,-0.67193883090932,0.160177531018398
Evapo,ET,mm,PF - SF[a],0.5,50% cover,25,0.00961682256479968,-0.564935556615602,0.109982348143898
Evapo,ET,mm,PF - SF[a],0.5,50% cover,26,0,-0.563540629860851,0.0774228300573974
Evapo,ET,mm,PF - SF[a],0.5,50% cover,27,0.00961682256479968,-0.562145703106101,0.0448633119708983
Evapo,ET,mm,PF - SF[a],0.5,50% cover,28,0,-0.285881262835451,0.027240067267849
Evapo,ET,mm,PF - SF[a],0.5,50% cover,29,-0.00961682256480145,-0.00961682256480145,0.00961682256479968
Evapo,ET,mm,PF - SF[a],0.5,50% cover,30,0,0,0
Evapo,ET,mm,PF - SF[a],0.75,75% cover,2,-0.0530390790162478,-2.42341373305676,3.76223997865273
Evapo,ET,mm,PF - SF[a],0.75,75% cover,3,-0.0237809779956493,-3.09692744888314,3.08756498562765
Evapo,ET,mm,PF - SF[a],0.75,75% cover,4,0.0332102039647815,-2.8829884251975,3.03531099959409
Evapo,ET,mm,PF - SF[a],0.75,75% cover,5,0.0237809779956564,-2.86983176162234,3.07588286461996
Evapo,ET,mm,PF - SF[a],0.75,75% cover,6,0.0651568688474029,-2.21927044672338,2.5172126442869
Evapo,ET,mm,PF - SF[a],0.75,75% cover,7,0.0237809779956564,-1.94651731339044,2.43937331435525
Evapo,ET,mm,PF - SF[a],0.75,75% cover,8,-0.100591711509473,-1.57600785796005,2.20230804589086
Evapo,ET,mm,PF - SF[a],0.75,75% cover,9,0.0237809779956564,-1.56805129864565,1.97056319621389
Evapo,ET,mm,PF - SF[a],0.75,75% cover,10,-0.0616870780398457,-1.38002391429161,1.57674005522675
Evapo,ET,mm,PF - SF[a],0.75,75% cover,11,-0.0237809779956493,-1.11793594408369,1.59004701259376
Evapo,ET,mm,PF - SF[a],0.75,75% cover,12,-0.085850063389799,-1.18723515411306,1.20792144645645
Evapo,ET,mm,PF - SF[a],0.75,75% cover,13,-0.0237809779956493,-1.10639452473595,1.22449371860385
Evapo,ET,mm,PF - SF[a],0.75,75% cover,14,0,-1.1186070763638,0.791212854857279
Evapo,ET,mm,PF - SF[a],0.75,75% cover,15,-0.0237809779956493,-0.806021181614746,1.19134917430905
Evapo,ET,mm,PF - SF[a],0.75,75% cover,16,-0.0101140473213484,-0.956207853175343,0.770071166535004
Evapo,ET,mm,PF - SF[a],0.75,75% cover,17,-0.0237809779956493,-0.806021181614746,1.19134917430905
Evapo,ET,mm,PF - SF[a],0.75,75% cover,18,0,-0.737592017848343,0.770485473338689
Evapo,ET,mm,PF - SF[a],0.75,75% cover,19,-0.0237809779956493,-0.806021181614746,0.369857059149662
Evapo,ET,mm,PF - SF[a],0.75,75% cover,20,0,-0.737592017848343,0.753207568438981
Evapo,ET,mm,PF - SF[a],0.75,75% cover,21,-0.0237809779956493,-0.669162854081947,0.348793158760955
Evapo,ET,mm,PF - SF[a],0.75,75% cover,22,0,-0.529206101064148,0.331497160713752
Evapo,ET,mm,PF - SF[a],0.75,75% cover,23,-0.0237809779956493,-0.669162854081947,0.348793158760955
Evapo,ET,mm,PF - SF[a],0.75,75% cover,24,0,-0.529206101064148,0.266307591917837
Evapo,ET,mm,PF - SF[a],0.75,75% cover,25,3.5527136788005e-15,-0.389249348046349,0.314201162666556
Evapo,ET,mm,PF - SF[a],0.75,75% cover,26,0,-0.295216385532648,0.265875191966657
Evapo,ET,mm,PF - SF[a],0.75,75% cover,27,-0.0237809779956493,-0.201183423018946,0.217549221266751
Evapo,ET,mm,PF - SF[a],0.75,75% cover,28,0,-0.112482200507301,0.120665099631204
Evapo,ET,mm,PF - SF[a],0.75,75% cover,29,3.5527136788005e-15,-0.0237809779956493,0.0237809779956564
Evapo,ET,mm,PF - SF[a],0.75,75% cover,30,0,0,0
Evapo,ET,mm,PF - SF[e],0.25,25% cover,2,-0.100402447032726,-1.85569817554773,2.97786830115823
Evapo,ET,mm,PF - SF[e],0.25,25% cover,3,-0.395722986761101,-2.02922171988005,1.61034605213394
Evapo,ET,mm,PF - SF[e],0.25,25% cover,4,-0.293037553307851,-1.81595851107333,1.84471586103597
Evapo,ET,mm,PF - SF[e],0.25,25% cover,5,-0.395722986761101,-1.7615312816357,1.5910144205544
Evapo,ET,mm,PF - SF[e],0.25,25% cover,6,-0.178086019169776,-1.4404861242224,1.53434489285935
Evapo,ET,mm,PF - SF[e],0.25,25% cover,7,-0.0666556650734016,-1.51247315365446,1.4695266369309
Evapo,ET,mm,PF - SF[e],0.25,25% cover,8,-0.161790752591951,-1.20872531012275,1.166271399649
Evapo,ET,mm,PF - SF[e],0.25,25% cover,9,0.066655665073398,-1.3568177434332,1.1542549308009
Evapo,ET,mm,PF - SF[e],0.25,25% cover,10,-0.164533660843851,-1.13246281601323,1.08823271694315
Evapo,ET,mm,PF - SF[e],0.25,25% cover,11,-0.0666556650734016,-0.86458906399317,1.0222105030854
Evapo,ET,mm,PF - SF[e],0.25,25% cover,12,-0.164533660843851,-1.05565544103455,0.813179871443338
Evapo,ET,mm,PF - SF[e],0.25,25% cover,13,-0.0666556650734016,-0.8519678158024,0.737285539517497
Evapo,ET,mm,PF - SF[e],0.25,25% cover,14,-0.164533660843851,-1.0435858247475,0.748808212932029
Evapo,ET,mm,PF - SF[e],0.25,25% cover,15,-0.0666556650734016,-0.8519678158024,0.737285539517497
Evapo,ET,mm,PF - SF[e],0.25,25% cover,16,-0.161790752591951,-0.803230477219152,0.748808212932029
Evapo,ET,mm,PF - SF[e],0.25,25% cover,17,-0.0666556650734016,-0.754493138635901,0.737285539517497
Evapo,ET,mm,PF - SF[e],0.25,25% cover,18,-0.164533660843851,-0.742423522348851,0.604874162486323
Evapo,ET,mm,PF - SF[e],0.25,25% cover,19,-0.0666556650734016,-0.730353906061801,0.468691060810997
Evapo,ET,mm,PF - SF[e],0.25,25% cover,20,-0.128423387198453,-0.704582244342159,0.401663071909997
Evapo,ET,mm,PF - SF[e],0.25,25% cover,21,-0.0666556650734016,-0.730353906061801,0.334635083008997
Evapo,ET,mm,PF - SF[e],0.25,25% cover,22,0,-0.691542338875451,0.303783636587596
Evapo,ET,mm,PF - SF[e],0.25,25% cover,23,-0.0666556650734016,-0.6527307716891,0.334635083008997
Evapo,ET,mm,PF - SF[e],0.25,25% cover,24,0,-0.5242268792251,0.2367556476866
Evapo,ET,mm,PF - SF[e],0.25,25% cover,25,0.066655665073398,-0.6527307716891,0.334635083008997
Evapo,ET,mm,PF - SF[e],0.25,25% cover,26,0,-0.5242268792251,0.2367556476866
Evapo,ET,mm,PF - SF[e],0.25,25% cover,27,0.066655665073398,-0.395722986761101,0.138876212364199
Evapo,ET,mm,PF - SF[e],0.25,25% cover,28,0,-0.231189325917249,0.102765938718797
Evapo,ET,mm,PF - SF[e],0.25,25% cover,29,0.066655665073398,-0.0666556650734016,0.066655665073398
Evapo,ET,mm,PF - SF[e],0.25,25% cover,30,0,0,0
Evapo,ET,mm,PF - SF[e],0.5,50% cover,2,0.0827684744701278,-1.91836077813548,1.92677146557659
Evapo,ET,mm,PF - SF[e],0.5,50% cover,3,0.201480005237045,-1.9516787813559,2.00726444514839
Evapo,ET,mm,PF - SF[e],0.5,50% cover,4,0.0896947919306403,-1.46269065069729,1.78979772499038
Evapo,ET,mm,PF - SF[e],0.5,50% cover,5,0.112552554705875,-1.76502048453672,1.79779343311635
Evapo,ET,mm,PF - SF[e],0.5,50% cover,6,0.0431538129750502,-1.22988373697627,1.47272310358813
Evapo,ET,mm,PF - SF[e],0.5,50% cover,7,0.112552554705875,-0.969455123475361,1.73452261384386
Evapo,ET,mm,PF - SF[e],0.5,50% cover,8,0.0187048007467201,-1.01535760182087,1.41050755356442
Evapo,ET,mm,PF - SF[e],0.5,50% cover,9,0.112552554705875,-0.444396886096478,1.22401356884518
Evapo,ET,mm,PF - SF[e],0.5,50% cover,10,0.000609693932235089,-0.639421265085777,1.38642735713801
Evapo,ET,mm,PF - SF[e],0.5,50% cover,11,0.112552554705875,-0.417786644116175,1.03717902730842
Evapo,ET,mm,PF - SF[e],0.5,50% cover,12,0,-0.582088288015681,1.03334353891713
Evapo,ET,mm,PF - SF[e],0.5,50% cover,13,0.112552554705875,-0.417786644116175,1.03717902730842
Evapo,ET,mm,PF - SF[e],0.5,50% cover,14,0,-0.370997966381765,0.772955450183386
Evapo,ET,mm,PF - SF[e],0.5,50% cover,15,0.112552554705875,-0.325074007676675,0.806161812898567
Evapo,ET,mm,PF - SF[e],0.5,50% cover,16,0,-0.325678370686705,0.772955450183386
Evapo,ET,mm,PF - SF[e],0.5,50% cover,17,0.112552554705875,-0.324230906623088,0.800238294580365
Evapo,ET,mm,PF - SF[e],0.5,50% cover,18,0,-0.319876416360703,0.577123383657072
Evapo,ET,mm,PF - SF[e],0.5,50% cover,19,0.112552554705875,-0.324209288647355,0.800238294580365
Evapo,ET,mm,PF - SF[e],0.5,50% cover,20,0,-0.31932187141524,0.564179679896377
Evapo,ET,mm,PF - SF[e],0.5,50% cover,21,0.112552554705875,-0.314434454183125,0.351844055676565
Evapo,ET,mm,PF - SF[e],0.5,50% cover,22,0,-0.267447319369667,0.339678419541091
Evapo,ET,mm,PF - SF[e],0.5,50% cover,23,0.112552554705875,-0.314434454183125,0.327512783405616
Evapo,ET,mm,PF - SF[e],0.5,50% cover,24,0,-0.261229785418434,0.264496394321331
Evapo,ET,mm,PF - SF[e],0.5,50% cover,25,0.112552554705875,-0.314434454183125,0.327512783405616
Evapo,ET,mm,PF - SF[e],0.5,50% cover,26,0,-0.261229785418434,0.264496394321331
Evapo,ET,mm,PF - SF[e],0.5,50% cover,27,0.112552554705875,-0.208025116653745,0.201480005237045
Evapo,ET,mm,PF - SF[e],0.5,50% cover,28,0,-0.160288835679809,0.15701627997146
Evapo,ET,mm,PF - SF[e],0.5,50% cover,29,0.112552554705875,-0.112552554705875,0.112552554705875
Evapo,ET,mm,PF - SF[e],0.5,50% cover,30,0,0,0
Evapo,ET,mm,PF - SF[e],0.75,75% cover,2,0.185139343254303,-2.98258512513987,2.90031127346244
Evapo,ET,mm,PF - SF[e],0.75,75% cover,3,0.127263687009652,-2.32501332596664,2.56219636527936
