region;response;Lon;Lat;spatial_median;spatial_mean;spatial_sd;n_runs
EBA;Temp;-54,8939739175574;-6,74151355295648;-0,837098714601461;-0,837098714601461;;1
EBA;Temp;-54,8939739175574;-6,30969150271075;-0,691731643007763;-0,691731643007763;;1
EBA;Temp;-54,8939739175574;-6,21073228286277;-0,481469105365562;-0,481469105365562;;1
EBA;Temp;-54,8939739175574;-5,50902145121345;-0,654188577142407;-0,654188577142407;;1
EBA;Temp;-54,8939739175574;-4,47444778916639;-0,839975663469847;-0,839975663469847;;1
EBA;Temp;-54,8939739175574;-4,24054417861662;-0,49746326946854;-0,49746326946854;;1
EBA;Temp;-54,8939739175574;-4,19556271504935;-0,437661096681666;-0,437661096681666;;1
EBA;Temp;-54,8939739175574;-4,13258866605519;0,947474407098343;0,947474407098343;0,0148692224440918;2
EBA;Temp;-54,8939739175574;-4,08760720248792;0,960571072172072;0,960571072172072;;1
EBA;Temp;-54,8939739175574;-4,05162203163411;0,0460439315590466;0,0460439315590466;;1
EBA;Temp;-54,8939739175574;-4,0336294462072;-0,0606483643999231;-0,0606483643999231;;1
EBA;Temp;-54,8939739175574;-4,00664056806685;-0,40805915677808;-0,40805915677808;;1
EBA;Temp;-54,8939739175574;-3,53883334696731;-0,376754698629676;-0,376754698629676;;1
EBA;Temp;-54,8939739175574;-3,49385188340004;-0,326351109632299;-0,326351109632299;;1
EBA;Temp;-54,8939739175574;-3,47585929797314;-0,296280003015101;-0,296280003015101;;1
EBA;Temp;-54,8939739175574;-3,46686300525968;-0,254168469709439;-0,254168469709439;;1
EBA;Temp;-54,8939739175574;-3,45786671254623;-0,0665391119864258;-0,0665391119864258;0,0228007912139161;2
EBA;Temp;-54,8939739175574;-3,37690007812516;0,53287599678174;0,53287599678174;;1
EBA;Temp;-54,8939739175574;-3,32292232184444;0,10000209334288;0,10000209334288;;1
EBA;Temp;-54,8939739175574;-3,29593344370408;-0,29001299989153;-0,29001299989153;;1
EBA;Temp;-54,8939739175574;-3,24195568742337;-0,0859547081444811;-0,0859547081444811;;1
EBA;Temp;-54,8939739175574;-3,07102612586776;0,360713877467021;0,360713877467021;;1
EBA;Temp;-54,8939739175574;-2,93608173516597;0,654121562812095;0,673093372580689;0,0720498253605578;4
EBA;Temp;-54,8939739175574;-2,91808914973907;0,304874728719312;0,304874728719312;;1
EBA;Temp;-54,8939739175574;-2,81912992989109;-0,249400417153054;-0,230718330393636;0,0521597304615248;4
EBA;Temp;-54,8939739175574;-2,80113734446418;-0,219564913601963;-0,219564913601963;;1
EBA;Temp;-54,8939739175574;-2,6841855391893;0,877330423611312;0,877330423611312;;1
EBA;Temp;-54,8939739175574;-2,58522631934132;0,544636192248482;0,544636192248482;0,212547764846518;2
EBA;Temp;-54,8939739175574;-2,56723373391441;0,491930179275322;0,491930179275322;;1
EBA;Temp;-54,8939739175574;-2,55823744120096;0,546293242900902;0,546293242900902;;1
EBA;Temp;-54,8939739175574;-2,54924114848751;0,88485808983765;0,88485808983765;;1
EBA;Temp;-54,8939739175574;-2,54024485577405;1,27505815280722;1,27505815280722;;1
EBA;Temp;-54,8939739175574;-2,47727080677988;1,9355094237235;1,9355094237235;;1
EBA;Temp;-54,8939739175574;-2,46827451406643;2,14575820873539;2,14575820873539;;1
EBA;Temp;-54,8939739175574;-2,22537461080321;1,33904439182179;1,33904439182179;;1
EBA;Temp;-54,8939739175574;-2,19838573266285;1,3407798327635;1,33645216655514;0,040729543521359;4
EBA;Temp;-54,8939739175574;-1,78455626784402;0,806977457791959;0,806977457791959;;1
EBA;Temp;-54,8939739175574;-1,73057851156331;1,02872835989902;1,02872835989902;;1
EBA;Temp;-54,8939739175574;-1,65860816985569;0,72528190168336;0,72528190168336;0,00322466502746267;2
EBA;Temp;-54,8939739175574;-1,53266007186735;0,658424340120165;0,658424340120165;;1
EBA;Temp;-54,8939739175574;-1,39771568116556;2,05885083988474;2,05885083988474;;1
EBA;Temp;-54,8939739175574;-1,3707268030252;1,95070438860139;1,95070438860139;;1
EBA;Temp;-54,8939739175574;-1,03786397262745;-0,507525838574026;-0,507525838574026;;1
EBA;Temp;-54,8939739175574;-0,983886216346732;-0,799157246171598;-0,799157246171598;;1
EBA;Temp;-54,8939739175574;-0,0482717741476479;-2,13793581884006;-2,13793581884006;;1
EBA;Temp;-54,8939739175574;0,968309302472511;-1,86912572291632;-1,86912572291632;;1
EBA;Temp;-54,8939739175574;1,04027964418013;-1,79529323752848;-1,79529323752848;;1
EBA;Temp;-54,8850727460785;-6,45363218612599;-0,340876748915617;-0,340876748915617;;1
EBA;Temp;-54,8850727460785;-5,70693989090941;-0,770706102413961;-0,770706102413961;;1
EBA;Temp;-54,8850727460785;-5,16716232810225;-0,271687185303384;-0,271687185303384;;1
EBA;Temp;-54,8850727460785;-4,49244037459329;-0,772511179927278;-0,772511179927278;;1
EBA;Temp;-54,8850727460785;-4,47444778916639;-0,783497127778304;-0,783497127778304;;1
EBA;Temp;-54,8850727460785;-4,25853676404352;-0,351698316791837;-0,351698316791837;;1
EBA;Temp;-54,8850727460785;-4,168573836909;0,309290097649961;0,309290097649961;;1
EBA;Temp;-54,8850727460785;-4,13258866605519;0,605093655038855;0,605093655038855;;1
EBA;Temp;-54,8850727460785;-4,10559978791483;0,450930808999971;0,450930808999971;;1
EBA;Temp;-54,8850727460785;-4,0336294462072;-0,0249767263584255;-0,0220563347654841;0,0330773934794701;3
EBA;Temp;-54,8850727460785;-4,02463315349375;-0,133827918665118;-0,133827918665118;0,0607111987085376;2
EBA;Temp;-54,8850727460785;-4,0156368607803;-0,0368856690457305;-0,0482370450288507;0,0495472466918145;5
EBA;Temp;-54,8850727460785;-4,00664056806685;-0,114427541320936;-0,114427541320936;;1
EBA;Temp;-54,8850727460785;-3,9976442753534;-0,154776304888373;-0,154776304888373;;1
EBA;Temp;-54,8850727460785;-3,95266281178613;-0,227260226392474;-0,227260226392474;;1
EBA;Temp;-54,8850727460785;-3,55682593239421;-0,437676484071775;-0,437676484071775;0,0353765339797019;2
EBA;Temp;-54,8850727460785;-3,50284817611349;-0,339478464891414;-0,339478464891414;;1
EBA;Temp;-54,8850727460785;-3,49385188340004;-0,376182304945514;-0,376182304945514;;1
EBA;Temp;-54,8850727460785;-3,48485559068659;-0,104278689857293;-0,104278689857293;;1
EBA;Temp;-54,8850727460785;-3,47585929797314;-0,264937093635704;-0,264937093635704;0,0027058064952912;2
EBA;Temp;-54,8850727460785;-3,31392602913099;0,46965487586174;0,46965487586174;0,0228290440187241;2
EBA;Temp;-54,8850727460785;-3,29593344370408;-0,271972894434434;-0,271972894434434;;1
