region;response;Ano;median;lower;upper;n_runs
EBA;Temp;2001;-0,583767632247298;-0,593272597825882;-0,568765479537264;30
EBA;Temp;2002;-0,256497680510701;-0,265660600872383;-0,247419363153164;30
EBA;Temp;2003;-0,464390544765044;-0,472016770547788;-0,452634714332846;30
EBA;Temp;2004;-0,509951336369053;-0,518617780432633;-0,497442702788202;30
EBA;Temp;2005;0,136516143006242;0,127731972052124;0,148783625894263;30
EBA;Temp;2006;-0,289429395247302;-0,297838253564815;-0,280696306379425;30
EBA;Temp;2007;-0,13625170787309;-0,143817357781166;-0,125169229273554;30
EBA;Temp;2008;-0,0893865418890664;-0,0968659189255374;-0,079411408369573;30
EBA;Temp;2009;-0,076831837210814;-0,0901910370725514;-0,0656793425393098;30
EBA;Temp;2010;0,203800891179842;0,195503256263004;0,212078517260333;30
EBA;Temp;2011;-0,188475914356806;-0,194892384759397;-0,176369418418467;30
EBA;Temp;2012;0,0475034437666567;0,0370604171139708;0,0547759946547105;30
EBA;Temp;2013;-0,227771005926267;-0,232404275663756;-0,218740280359202;30
EBA;Temp;2014;-0,0642478282166632;-0,0705352250581501;-0,054350985461955;30
EBA;Temp;2015;0,504651528026709;0,496325852745874;0,522146526845371;30
EBA;Temp;2016;0,647849945690067;0,627895327538076;0,660955737831603;30
EBA;Temp;2017;0,552275417439659;0,543244535466067;0,563136049202044;30
EBA;Temp;2018;0,122087901521475;0,11654658665413;0,129803135489998;30
EBA;Temp;2019;0,188437048727481;0,179746654336175;0,199248677929124;30
EBA;Temp;2020;0,428256925327628;0,417165062689966;0,438483398262208;30
EBA;Temp;2021;0,0478480646019234;0,0407001327298895;0,0631005059208427;30
