region;response;Ano;median;lower;upper;n_runs
SBA;Prec;2001;-20,2891044677188;-27,3117279744761;-14,9418665549631;30
SBA;Prec;2002;-194,527710053247;-200,804846669812;-191,035517758826;30
SBA;Prec;2003;-4,83218957918612;-9,53720372390892;-0,522885869471302;30
SBA;Prec;2004;8,86246098452688;4,62042593210899;11,2669902219509;30
SBA;Prec;2005;-65,4333033892993;-70,4730009298266;-61,0953751402554;30
SBA;Prec;2006;-3,66615684491075;-7,03620138139785;0,0257942984696664;30
SBA;Prec;2007;-165,720795243385;-168,855491913632;-160,07482971262;30
SBA;Prec;2008;15,5478229244294;10,0714025994443;20,4589187816316;30
SBA;Prec;2009;82,8288480465691;78,3322158367083;87,0015803912919;30
SBA;Prec;2010;-197,691341492094;-200,88338317419;-192,500463553225;30
SBA;Prec;2011;12,8787925347008;6,48233990595588;17,4616088362933;30
SBA;Prec;2012;-60,2305860090308;-64,4410292753741;-55,3615841206891;30
SBA;Prec;2013;242,209523987722;233,980665087056;247,079701490006;30
SBA;Prec;2014;206,225076345292;203,074095563351;215,604910479755;30
SBA;Prec;2015;-194,159033071798;-197,879606935618;-186,849127211281;30
SBA;Prec;2016;-50,7447641298591;-54,2843211634809;-45,6510255009303;30
SBA;Prec;2017;56,1303259068841;50,0617484054315;59,9485055891633;30
SBA;Prec;2018;230,701483714202;225,606727964303;237,481033899997;30
SBA;Prec;2019;26,0191702217468;21,4156774064765;32,2794806528985;30
SBA;Prec;2020;-97,1560544534328;-102,501822415199;-92,04009209301;30
SBA;Prec;2021;172,927569729832;167,63131275155;179,612533281394;30
