region;response;contrast_type;frac_plot;frac_bin;stage;median;lower;upper;n_runs
SBA;Prec;Spatially adjusted;0,333265;;SF[i];-4,99712690944932;-8,4103788806031;-0,520546388943791;30
SBA;Prec;Spatially adjusted;0,333265;;SF[a];7,68295601627768;2,71204128099871;14,5218409366122;30
SBA;Prec;Spatially adjusted;0,353469;;SF[e];3,7115936415969;-3,2385079663908;7,80381101592632;30
SBA;Prec;Spatially adjusted;0,353469;;SF[i];-4,98312453629081;-8,02081406979666;-0,233413969946231;30
SBA;Prec;Spatially adjusted;0,353469;;SF[a];7,5385623651506;2,39180711069917;14,1803445441371;30
SBA;Prec;Spatially adjusted;0,373673;;SF[e];4,36511434083809;-2,30432314241729;8,19633328878766;30
SBA;Prec;Spatially adjusted;0,373673;;SF[i];-4,68676945691641;-7,75448828357409;0,050844468824828;30
SBA;Prec;Spatially adjusted;0,373673;;SF[a];7,39838020437981;2,31916194802386;13,7054712095143;30
SBA;Prec;Spatially adjusted;0,393878;;SF[e];4,86170131148299;-1,39149387083468;8,51585728590164;30
SBA;Prec;Spatially adjusted;0,393878;;SF[i];-4,25889352842512;-7,37219096731343;0,323542147258819;30
SBA;Prec;Spatially adjusted;0,393878;;SF[a];7,28488621346651;1,81912624939964;13,1102754574223;30
SBA;Prec;Spatially adjusted;0,414082;;SF[e];5,44271679004135;-0,403311936534163;8,72378887073263;30
SBA;Prec;Spatially adjusted;0,414082;;SF[i];-3,82528162678432;-7,45099132461263;0,575992285245303;30
SBA;Prec;Spatially adjusted;0,414082;;SF[a];7,07232561448564;1,25492712057607;12,4078118125403;30
SBA;Prec;Spatially adjusted;0,434286;;SF[e];5,96131626332897;0,625236499464984;9,01193621052253;30
SBA;Prec;Spatially adjusted;0,434286;;SF[i];-3,72904128062089;-7,39867480859414;0,799508102673108;30
SBA;Prec;Spatially adjusted;0,434286;;SF[a];6,97560892419199;0,705175312628983;11,6111347995468;30
SBA;Prec;Spatially adjusted;0,45449;;SF[e];6,50916071734549;1,64325907126046;9,4126735895213;30
SBA;Prec;Spatially adjusted;0,45449;;SF[i];-3,1291890927148;-7,32660033077311;0,985402819431736;30
SBA;Prec;Spatially adjusted;0,45449;;SF[a];6,58215677399005;0,175655986090641;10,887327511862;30
SBA;Prec;Spatially adjusted;0,474694;;SF[e];6,80643691140063;2,0719994814701;9,76535559260041;30
SBA;Prec;Spatially adjusted;0,474694;;SF[i];-2,61250080549178;-7,43495761605054;1,12498965541;30
SBA;Prec;Spatially adjusted;0,474694;;SF[a];6,40227372923062;-0,327845698507064;10,2268769791758;30
SBA;Prec;Spatially adjusted;0,494898;;SF[e];7,17201721214997;2,24502843601839;10,5628338556641;30
SBA;Prec;Spatially adjusted;0,494898;;SF[i];-2,14470751701901;-7,65509674177318;1,20958183049826;30
