frac_area,Tipo,pred,region,response,run
0.01,PF,1438.06180169019,CBA,Evapo,1
0.0149748743718593,PF,1438.12501710685,CBA,Evapo,1
0.0199497487437186,PF,1438.1880714829,CBA,Evapo,1
0.0249246231155779,PF,1438.25080377773,CBA,Evapo,1
0.0298994974874372,PF,1438.31305295075,CBA,Evapo,1
0.0348743718592965,PF,1438.37465796134,CBA,Evapo,1
0.0398492462311558,PF,1438.4354577689,CBA,Evapo,1
0.0448241206030151,PF,1438.49529133282,CBA,Evapo,1
0.0497989949748744,PF,1438.55399761249,CBA,Evapo,1
0.0547738693467337,PF,1438.61141556732,CBA,Evapo,1
0.059748743718593,PF,1438.66738415668,CBA,Evapo,1
0.0647236180904523,PF,1438.72174233998,CBA,Evapo,1
0.0696984924623116,PF,1438.77432907661,CBA,Evapo,1
0.0746733668341709,PF,1438.82498332596,CBA,Evapo,1
0.0796482412060302,PF,1438.87354404743,CBA,Evapo,1
0.0846231155778894,PF,1438.91985020041,CBA,Evapo,1
0.0895979899497487,PF,1438.96374074429,CBA,Evapo,1
0.094572864321608,PF,1439.00505463846,CBA,Evapo,1
0.0995477386934673,PF,1439.04363084233,CBA,Evapo,1
0.104522613065327,PF,1439.07930831528,CBA,Evapo,1
0.109497487437186,PF,1439.11192601671,CBA,Evapo,1
0.114472361809045,PF,1439.14132290601,CBA,Evapo,1
0.119447236180905,PF,1439.16733794257,CBA,Evapo,1
0.124422110552764,PF,1439.18981008579,CBA,Evapo,1
0.129396984924623,PF,1439.20857829507,CBA,Evapo,1
0.134371859296482,PF,1439.22348152978,CBA,Evapo,1
0.139346733668342,PF,1439.23435874934,CBA,Evapo,1
0.144321608040201,PF,1439.24104891313,CBA,Evapo,1
0.14929648241206,PF,1439.24339098054,CBA,Evapo,1
0.15427135678392,PF,1439.24122391097,CBA,Evapo,1
0.159246231155779,PF,1439.23438666382,CBA,Evapo,1
0.164221105527638,PF,1439.22271819847,CBA,Evapo,1
0.169195979899498,PF,1439.20605747432,CBA,Evapo,1
0.174170854271357,PF,1439.18424345077,CBA,Evapo,1
0.179145728643216,PF,1439.1571150872,CBA,Evapo,1
0.184120603015075,PF,1439.12451134301,CBA,Evapo,1
0.189095477386935,PF,1439.0862711776,CBA,Evapo,1
0.194070351758794,PF,1439.04223355035,CBA,Evapo,1
0.199045226130653,PF,1438.99223742066,CBA,Evapo,1
0.204020100502513,PF,1438.93612174793,CBA,Evapo,1
0.208994974874372,PF,1438.87372549155,CBA,Evapo,1
0.213969849246231,PF,1438.80488761091,CBA,Evapo,1
0.21894472361809,PF,1438.7294470654,CBA,Evapo,1
0.22391959798995,PF,1438.64724281442,CBA,Evapo,1
0.228894472361809,PF,1438.55811381737,CBA,Evapo,1
0.233869346733668,PF,1438.46189903363,CBA,Evapo,1
0.238844221105528,PF,1438.3584374226,CBA,Evapo,1
0.243819095477387,PF,1438.24756794367,CBA,Evapo,1
0.248793969849246,PF,1438.12912955624,CBA,Evapo,1
0.253768844221106,PF,1438.0029612197,CBA,Evapo,1
0.258743718592965,PF,1437.86890189344,CBA,Evapo,1
0.263718592964824,PF,1437.72679053686,CBA,Evapo,1
0.268693467336683,PF,1437.57646610935,CBA,Evapo,1
0.273668341708543,PF,1437.41776757031,CBA,Evapo,1
0.278643216080402,PF,1437.25053387912,CBA,Evapo,1
0.283618090452261,PF,1437.07460399518,CBA,Evapo,1
0.288592964824121,PF,1436.88981687789,CBA,Evapo,1
0.29356783919598,PF,1436.69601148663,CBA,Evapo,1
0.298542713567839,PF,1436.49302678081,CBA,Evapo,1
0.303517587939699,PF,1436.28070171982,CBA,Evapo,1
0.308492462311558,PF,1436.05887526304,CBA,Evapo,1
0.313467336683417,PF,1435.82738636987,CBA,Evapo,1
0.318442211055276,PF,1435.58607399971,CBA,Evapo,1
0.323417085427136,PF,1435.33477711195,CBA,Evapo,1
0.328391959798995,PF,1435.07333466598,CBA,Evapo,1
0.333366834170854,PF,1434.8015856212,CBA,Evapo,1
0.338341708542714,PF,1434.519368937,CBA,Evapo,1
0.343316582914573,PF,1434.22661551566,CBA,Evapo,1
0.348291457286432,PF,1433.92362403101,CBA,Evapo,1
0.353266331658292,PF,1433.61078509975,CBA,Evapo,1
0.358241206030151,PF,1433.28848933859,CBA,Evapo,1
0.36321608040201,PF,1432.95712736425,CBA,Evapo,1
0.368190954773869,PF,1432.61708979344,CBA,Evapo,1
0.373165829145729,PF,1432.26876724286,CBA,Evapo,1
0.378140703517588,PF,1431.91255032924,CBA,Evapo,1
0.383115577889447,PF,1431.54882966927,CBA,Evapo,1
0.388090452261307,PF,1431.17799587967,CBA,Evapo,1
0.393065326633166,PF,1430.80043957716,CBA,Evapo,1
0.398040201005025,PF,1430.41655137843,CBA,Evapo,1
0.403015075376884,PF,1430.0267219002,CBA,Evapo,1
0.407989949748744,PF,1429.63134175919,CBA,Evapo,1
0.412964824120603,PF,1429.2308015721,CBA,Evapo,1
0.417939698492462,PF,1428.82549195565,CBA,Evapo,1
0.422914572864322,PF,1428.41580352654,CBA,Evapo,1
0.427889447236181,PF,1428.00212690148,CBA,Evapo,1
0.43286432160804,PF,1427.58485269719,CBA,Evapo,1
0.437839195979899,PF,1427.16437153038,CBA,Evapo,1
0.442814070351759,PF,1426.74107401775,CBA,Evapo,1
0.447788944723618,PF,1426.31535077602,CBA,Evapo,1
0.452763819095477,PF,1425.8875924219,CBA,Evapo,1
0.457738693467337,PF,1425.45818957209,CBA,Evapo,1
0.462713567839196,PF,1425.02753284332,CBA,Evapo,1
0.467688442211055,PF,1424.59601285229,CBA,Evapo,1
0.472663316582915,PF,1424.16402021571,CBA,Evapo,1
0.477638190954774,PF,1423.73194555029,CBA,Evapo,1
0.482613065326633,PF,1423.30017947274,CBA,Evapo,1
0.487587939698492,PF,1422.86911259978,CBA,Evapo,1
0.492562814070352,PF,1422.43913554811,CBA,Evapo,1
0.497537688442211,PF,1422.01063893444,CBA,Evapo,1
0.50251256281407,PF,1421.58401337549,CBA,Evapo,1
0.50748743718593,PF,1421.15964948796,CBA,Evapo,1
0.512462311557789,PF,1420.73793788858,CBA,Evapo,1
0.517437185929648,PF,1420.31926919403,CBA,Evapo,1
0.522412060301508,PF,1419.90403402105,CBA,Evapo,1
0.527386934673367,PF,1419.49262298633,CBA,Evapo,1
0.532361809045226,PF,1419.08542670659,CBA,Evapo,1
0.537336683417085,PF,1418.68283579855,CBA,Evapo,1
0.542311557788945,PF,1418.2852408789,CBA,Evapo,1
0.547286432160804,PF,1417.89303256436,CBA,Evapo,1
0.552261306532663,PF,1417.50660147165,CBA,Evapo,1
0.557236180904523,PF,1417.12633821747,CBA,Evapo,1
0.562211055276382,PF,1416.75263341853,CBA,Evapo,1
0.567185929648241,PF,1416.38587769154,CBA,Evapo,1
0.572160804020101,PF,1416.02646165322,CBA,Evapo,1
0.57713567839196,PF,1415.67477592027,CBA,Evapo,1
0.582110552763819,PF,1415.33121110941,CBA,Evapo,1
