region;response;Ano;median;lower;upper;n_runs
CBA;Evapo;2001;48,1231830250315;44,6172769676801;51,4732278094879;30
CBA;Evapo;2002;40,5851285106592;37,6361234785685;43,0750174337421;30
CBA;Evapo;2003;28,6333874681484;26,605348750683;30,670614669773;30
CBA;Evapo;2004;28,193009966602;27,0858841595397;29,7855028155846;30
CBA;Evapo;2005;23,4770003565401;22,0243193723032;24,6356434370448;30
CBA;Evapo;2006;40,5317511191889;38,8734735517917;42,002350634706;30
CBA;Evapo;2007;20,9346756800534;19,8332687852113;21,8977941962648;30
CBA;Evapo;2008;-25,4743735943782;-26,7421898407422;-24,4188230318808;30
CBA;Evapo;2009;-4,21360325471568;-6,1219313573148;-2,95607130958676;30
CBA;Evapo;2010;-21,8093298289988;-23,3536483913405;-20,4375333877329;30
CBA;Evapo;2011;-25,2049809789205;-26,8070505810911;-23,8938859975164;30
CBA;Evapo;2012;-53,6198569239552;-55,4018487744504;-52,0406260121415;30
CBA;Evapo;2013;-36,8878322307681;-38,6484114289351;-35,3482047836501;30
CBA;Evapo;2014;-2,94145114991983;-3,92127687074644;-1,86513131043694;30
CBA;Evapo;2015;-8,11479176327809;-10,5197308467181;-5,99097407993226;30
CBA;Evapo;2016;-24,1280492430329;-25,7650230289355;-22,7643296484095;30
CBA;Evapo;2017;2,13544413275451;0,641793515640312;2,94199132078174;30
CBA;Evapo;2018;20,9496815033895;19,8100925640063;22,1434675641373;30
CBA;Evapo;2019;-29,9513238737225;-31,1084599289792;-28,6959516748892;30
CBA;Evapo;2020;1,24076709927449;0,166771722574481;2,25244261639862;30
CBA;Evapo;2021;-21,5395479511637;-23,4616679734842;-18,9938801468927;30
