region,response,frac_area,Tipo,median,lower,upper
EBA,Prec,0.01,PF,2217.36436286828,2180.43293258155,2238.81028094926
EBA,Prec,0.0149748743718593,PF,2217.31204667934,2180.5099643581,2238.76694825468
EBA,Prec,0.0199497487437186,PF,2217.25975369748,2180.61098481515,2238.72361129436
EBA,Prec,0.0249246231155779,PF,2217.20750712977,2180.71191404434,2238.68026580255
EBA,Prec,0.0298994974874372,PF,2217.15533018329,2180.81270643175,2238.63690751351
EBA,Prec,0.0348743718592965,PF,2217.10324606513,2180.91331636344,2238.59353216148
EBA,Prec,0.0398492462311558,PF,2217.05127798235,2181.01369822549,2238.55013548073
EBA,Prec,0.0448241206030151,PF,2216.99944914203,2181.11380640397,2238.5067132055
EBA,Prec,0.0497989949748744,PF,2216.94778275125,2181.21359528495,2238.46326107006
EBA,Prec,0.0547738693467337,PF,2216.8963020171,2181.3130192545,2238.41977480866
EBA,Prec,0.059748743718593,PF,2216.84503014663,2181.41203269869,2238.37625015555
EBA,Prec,0.0647236180904523,PF,2216.79399034694,2181.51059000359,2238.33268284499
EBA,Prec,0.0696984924623116,PF,2216.7432058251,2181.60864555528,2238.28906861123
EBA,Prec,0.0746733668341709,PF,2216.69269978819,2181.70615373983,2238.24540318853
EBA,Prec,0.0796482412060302,PF,2216.64249544328,2181.8030689433,2238.20168231114
EBA,Prec,0.0846231155778894,PF,2216.59261599745,2181.89934555177,2238.15790171331
EBA,Prec,0.0895979899497487,PF,2216.54308465779,2181.99493795132,2238.11405712931
EBA,Prec,0.094572864321608,PF,2216.49392463135,2182.089800528,2238.07014429339
EBA,Prec,0.0995477386934673,PF,2216.44515912523,2182.1838876679,2238.02615893979
EBA,Prec,0.104522613065327,PF,2216.3968113465,2182.27715375708,2237.98209680278
EBA,Prec,0.109497487437186,PF,2216.34890450224,2182.36955318162,2237.93795361662
EBA,Prec,0.114472361809045,PF,2216.30146179952,2182.46104032759,2237.89372511554
EBA,Prec,0.119447236180905,PF,2216.25450644543,2182.55156958105,2237.84940703382
EBA,Prec,0.124422110552764,PF,2216.20806164704,2182.64109532809,2237.8049951057
EBA,Prec,0.129396984924623,PF,2216.16215061142,2182.72957195476,2237.76048506545
EBA,Prec,0.134371859296482,PF,2216.11679654565,2182.81695384715,2237.7158726473
EBA,Prec,0.139346733668342,PF,2216.07202265682,2182.90319539132,2237.67115358553
EBA,Prec,0.144321608040201,PF,2216.027852152,2182.98825097335,2237.62632361438
EBA,Prec,0.14929648241206,PF,2215.98430823826,2183.07207497931,2237.58137846811
EBA,Prec,0.15427135678392,PF,2215.94141412268,2183.15462179526,2237.53631388097
EBA,Prec,0.159246231155779,PF,2215.89919301234,2183.23584580729,2237.49112558722
EBA,Prec,0.164221105527638,PF,2215.85766811433,2183.31570140145,2237.44580932111
EBA,Prec,0.169195979899498,PF,2215.8168626357,2183.39414296383,2237.4003608169
EBA,Prec,0.174170854271357,PF,2215.77679978355,2183.40803419353,2237.35477580885
EBA,Prec,0.179145728643216,PF,2215.73750276495,2183.35230235169,2237.3090500312
EBA,Prec,0.184120603015075,PF,2215.69899478697,2183.29780529345,2237.26317921821
EBA,Prec,0.189095477386935,PF,2215.6612990567,2183.24457933598,2237.21715910414
EBA,Prec,0.194070351758794,PF,2215.62443878121,2183.19266079643,2237.17098542325
EBA,Prec,0.199045226130653,PF,2215.58843716758,2183.14208599198,2237.12465390978
EBA,Prec,0.204020100502513,PF,2215.55331742288,2183.09289123978,2237.07816029799
EBA,Prec,0.208994974874372,PF,2215.51910275419,2183.04511285701,2237.03150032213
EBA,Prec,0.213969849246231,PF,2215.4858163686,2182.99878716083,2236.98466971647
EBA,Prec,0.21894472361809,PF,2215.45348147317,2182.9539504684,2236.93766421525
EBA,Prec,0.22391959798995,PF,2215.42212127499,2182.91063909689,2236.89047955273
EBA,Prec,0.228894472361809,PF,2215.39175898113,2182.86888936346,2236.84311146317
EBA,Prec,0.233869346733668,PF,2215.36241779866,2182.82873758528,2236.79555568082
EBA,Prec,0.238844221105528,PF,2215.33412093468,2182.79022007951,2236.74780793993
EBA,Prec,0.243819095477387,PF,2215.30689159624,2182.75337316332,2236.68440595385
EBA,Prec,0.248793969849246,PF,2215.28075299044,2182.71823315387,2236.60943856483
EBA,Prec,0.253768844221106,PF,2215.25572832435,2182.68483636832,2236.53554402193
EBA,Prec,0.258743718592965,PF,2215.23184080504,2182.65321912385,2236.46274467612
EBA,Prec,0.263718592964824,PF,2215.20911363959,2182.62341773761,2236.39106287836
EBA,Prec,0.268693467336683,PF,2215.18757003508,2182.59546852677,2236.3205209796
EBA,Prec,0.273668341708543,PF,2215.16723319859,2182.56940780849,2236.25114133081
EBA,Prec,0.278643216080402,PF,2215.1481263372,2182.54527189994,2236.18294628295
EBA,Prec,0.283618090452261,PF,2215.13027265797,2182.52309711829,2236.11595818698
EBA,Prec,0.288592964824121,PF,2215.113695368,2182.5029197807,2236.05019939386
EBA,Prec,0.29356783919598,PF,2215.09841767435,2182.48477620433,2235.98569225456
EBA,Prec,0.298542713567839,PF,2215.0844627841,2182.46870270635,2235.92245912002
EBA,Prec,0.303517587939699,PF,2215.07185390433,2182.45473560392,2235.86052234123
EBA,Prec,0.308492462311558,PF,2215.06061424212,2182.44291121421,2235.79990426912
EBA,Prec,0.313467336683417,PF,2215.05076700455,2182.43326585438,2235.74062725468
EBA,Prec,0.318442211055276,PF,2215.04233539869,2182.4258358416,2235.68271364885
EBA,Prec,0.323417085427136,PF,2215.03534263162,2182.42065749303,2235.6261858026
EBA,Prec,0.328391959798995,PF,2215.02981191041,2182.41776712584,2235.57106606688
EBA,Prec,0.333366834170854,PF,2215.02576644215,2182.41720105719,2235.51737679267
EBA,Prec,0.338341708542714,PF,2215.02322943391,2182.41899560424,2235.46514033092
EBA,Prec,0.343316582914573,PF,2215.02221149814,2182.42316750977,2235.41437132397
EBA,Prec,0.348291457286432,PF,2215.04168873832,2182.42965521892,2235.36505357965
EBA,Prec,0.353266331658292,PF,2215.09039640686,2182.43837760248,2235.31716319718
EBA,Prec,0.358241206030151,PF,2215.14088594819,2182.44925353118,2235.27067627577
EBA,Prec,0.36321608040201,PF,2215.19306408556,2182.46220187581,2235.22556891463
EBA,Prec,0.368190954773869,PF,2215.24683754226,2182.47714150711,2235.18181721298
EBA,Prec,0.373165829145729,PF,2215.30211304154,2182.49399129585,2235.13939727004
EBA,Prec,0.378140703517588,PF,2215.35879730669,2182.5126701128,2235.1050714556
EBA,Prec,0.383115577889447,PF,2215.41679706095,2182.53309682871,2235.09352485026
EBA,Prec,0.388090452261307,PF,2215.47601902761,2182.55519031435,2235.08099788096
EBA,Prec,0.393065326633166,PF,2215.53636992992,2182.57886944047,2235.06753741919
EBA,Prec,0.398040201005025,PF,2215.59775649116,2182.60405307785,2235.05319033645
EBA,Prec,0.403015075376884,PF,2215.6600854346,2182.63066009723,2235.03800350424
EBA,Prec,0.407989949748744,PF,2215.7232634835,2182.65860936939,2235.02202379405
EBA,Prec,0.412964824120603,PF,2215.78719736113,2182.68781976508,2235.0035361737
EBA,Prec,0.417939698492462,PF,2215.85179379077,2182.71821015507,2234.95569861384
EBA,Prec,0.422914572864322,PF,2215.91695949566,2182.74969941012,2234.90742445081
EBA,Prec,0.427889447236181,PF,2215.9826011991,2182.78220640099,2234.85877220663
EBA,Prec,0.43286432160804,PF,2216.04862562433,2182.81564999843,2234.80980040335
EBA,Prec,0.437839195979899,PF,2216.11493949463,2182.84994907323,2234.7908685121
EBA,Prec,0.442814070351759,PF,2216.18144953328,2182.88502249612,2234.78243899247
EBA,Prec,0.447788944723618,PF,2216.24806246353,2182.92078913788,2234.77481532846
EBA,Prec,0.452763819095477,PF,2216.31468500865,2182.95716786927,2234.76796649952
EBA,Prec,0.457738693467337,PF,2216.38122389191,2182.99407756105,2234.76186148508
EBA,Prec,0.462713567839196,PF,2216.44758583659,2183.03143708399,2234.75646926459
EBA,Prec,0.467688442211055,PF,2216.51367756594,2183.06916530883,2234.75175881749
EBA,Prec,0.472663316582915,PF,2216.57940580323,2183.10718110635,2234.74769912321
EBA,Prec,0.477638190954774,PF,2216.64467727174,2183.14540334731,2234.7442591612
EBA,Prec,0.482613065326633,PF,2216.70939869473,2183.18375090246,2234.7414079109
EBA,Prec,0.487587939698492,PF,2216.77347679547,2183.22214264258,2234.73911435175
EBA,Prec,0.492562814070352,PF,2216.83681829723,2183.26049743841,2234.73734746318
EBA,Prec,0.497537688442211,PF,2216.89932992327,2183.29873416074,2234.73607622465
EBA,Prec,0.50251256281407,PF,2216.96091839686,2183.3367716803,2234.73526961559
EBA,Prec,0.50748743718593,PF,2217.02149044128,2183.37452886787,2234.73489661544
EBA,Prec,0.512462311557789,PF,2217.08095277978,2183.41192459422,2234.73492620365
EBA,Prec,0.517437185929648,PF,2217.13921213564,2183.44887773009,2234.73532735964
EBA,Prec,0.522412060301508,PF,2217.19617523212,2183.4716640964,2234.73606906287
EBA,Prec,0.527386934673367,PF,2217.25174879249,2183.4083357842,2234.73712029278
EBA,Prec,0.532361809045226,PF,2217.30583954002,2183.34458226543,2234.73845002879
EBA,Prec,0.537336683417085,PF,2217.35835419799,2183.28047157463,2234.74002725037
EBA,Prec,0.542311557788945,PF,2217.40919948964,2183.21607174635,2234.74182093694
EBA,Prec,0.547286432160804,PF,2217.45828213826,2183.15145081514,2234.74380006795
EBA,Prec,0.552261306532663,PF,2217.50550886711,2183.08667681555,2234.74593362283
EBA,Prec,0.557236180904523,PF,2217.55078639946,2183.02181778211,2234.74819058103
EBA,Prec,0.562211055276382,PF,2217.59402145858,2182.95694174937,2234.75053992199
