frac_area,Tipo,pred,region,response,run
0.01,PF,2234.99177606171,EBA,Prec,1
0.0149748743718593,PF,2234.81036705028,EBA,Prec,1
0.0199497487437186,PF,2234.62904227359,EBA,Prec,1
0.0249246231155779,PF,2234.44788596637,EBA,Prec,1
0.0298994974874372,PF,2234.26698236336,EBA,Prec,1
0.0348743718592965,PF,2234.08641569928,EBA,Prec,1
0.0398492462311558,PF,2233.90627020889,EBA,Prec,1
0.0448241206030151,PF,2233.7266301269,EBA,Prec,1
0.0497989949748744,PF,2233.54757968807,EBA,Prec,1
0.0547738693467337,PF,2233.36920312711,EBA,Prec,1
0.059748743718593,PF,2233.19158467878,EBA,Prec,1
0.0647236180904523,PF,2233.0148085778,EBA,Prec,1
0.0696984924623116,PF,2232.83895905891,EBA,Prec,1
0.0746733668341709,PF,2232.66412035684,EBA,Prec,1
0.0796482412060302,PF,2232.49037670633,EBA,Prec,1
0.0846231155778894,PF,2232.31781234211,EBA,Prec,1
0.0895979899497487,PF,2232.14651149893,EBA,Prec,1
0.094572864321608,PF,2231.97655841151,EBA,Prec,1
0.0995477386934673,PF,2231.80803731459,EBA,Prec,1
0.104522613065327,PF,2231.64103244291,EBA,Prec,1
0.109497487437186,PF,2231.4756280312,EBA,Prec,1
0.114472361809045,PF,2231.3119083142,EBA,Prec,1
0.119447236180905,PF,2231.14995752664,EBA,Prec,1
0.124422110552764,PF,2230.98985990326,EBA,Prec,1
0.129396984924623,PF,2230.83169967879,EBA,Prec,1
0.134371859296482,PF,2230.67556108797,EBA,Prec,1
0.139346733668342,PF,2230.52152836553,EBA,Prec,1
0.144321608040201,PF,2230.36968574621,EBA,Prec,1
0.14929648241206,PF,2230.22011746475,EBA,Prec,1
0.15427135678392,PF,2230.07290775587,EBA,Prec,1
0.159246231155779,PF,2229.92814085433,EBA,Prec,1
0.164221105527638,PF,2229.78590099484,EBA,Prec,1
0.169195979899498,PF,2229.64627241214,EBA,Prec,1
0.174170854271357,PF,2229.50933934098,EBA,Prec,1
0.179145728643216,PF,2229.37518601609,EBA,Prec,1
0.184120603015075,PF,2229.24389667219,EBA,Prec,1
0.189095477386935,PF,2229.11555554404,EBA,Prec,1
0.194070351758794,PF,2228.99024686635,EBA,Prec,1
0.199045226130653,PF,2228.86805487388,EBA,Prec,1
0.204020100502513,PF,2228.74906380135,EBA,Prec,1
0.208994974874372,PF,2228.63335788349,EBA,Prec,1
0.213969849246231,PF,2228.52102135505,EBA,Prec,1
0.21894472361809,PF,2228.41213845076,EBA,Prec,1
0.22391959798995,PF,2228.30679340536,EBA,Prec,1
0.228894472361809,PF,2228.20507045357,EBA,Prec,1
0.233869346733668,PF,2228.10705383014,EBA,Prec,1
0.238844221105528,PF,2228.0128277698,EBA,Prec,1
0.243819095477387,PF,2227.92247650729,EBA,Prec,1
0.248793969849246,PF,2227.83608427733,EBA,Prec,1
0.253768844221106,PF,2227.75373531468,EBA,Prec,1
0.258743718592965,PF,2227.67551385406,EBA,Prec,1
0.263718592964824,PF,2227.6015041302,EBA,Prec,1
0.268693467336683,PF,2227.53179037785,EBA,Prec,1
0.273668341708543,PF,2227.46645683173,EBA,Prec,1
0.278643216080402,PF,2227.40558772659,EBA,Prec,1
0.283618090452261,PF,2227.34926729716,EBA,Prec,1
0.288592964824121,PF,2227.29757977817,EBA,Prec,1
0.29356783919598,PF,2227.25060940436,EBA,Prec,1
0.298542713567839,PF,2227.20844041047,EBA,Prec,1
0.303517587939699,PF,2227.17115703122,EBA,Prec,1
