region,response,frac_area,Tipo,median,lower,upper
CBA,Evapo,0.01,PF,1456.18327908123,1439.77549742439,1465.44008712747
CBA,Evapo,0.0149748743718593,PF,1456.19478692216,1439.846736247,1465.35288868732
CBA,Evapo,0.0199497487437186,PF,1456.20615256354,1439.91780645686,1465.26556245996
CBA,Evapo,0.0249246231155779,PF,1456.21723380585,1439.98853944123,1465.17798065816
CBA,Evapo,0.0298994974874372,PF,1456.22788844955,1440.02631091819,1465.09001549473
CBA,Evapo,0.0348743718592965,PF,1456.23797429509,1439.99276890304,1465.00153918243
CBA,Evapo,0.0398492462311558,PF,1456.24734914293,1439.95853510941,1464.9539902157
CBA,Evapo,0.0448241206030151,PF,1456.25587079355,1439.92347118159,1464.9767604214
CBA,Evapo,0.0497989949748744,PF,1456.26339704739,1439.88743876388,1464.99844215437
CBA,Evapo,0.0547738693467337,PF,1456.26978570493,1439.8502995006,1465.01887991852
CBA,Evapo,0.059748743718593,PF,1456.27489456661,1439.81191503603,1465.03791821773
CBA,Evapo,0.0647236180904523,PF,1456.27858143292,1439.77214701449,1465.05540155591
CBA,Evapo,0.0696984924623116,PF,1456.2807041043,1439.73085708027,1465.07117443694
CBA,Evapo,0.0746733668341709,PF,1456.28112038121,1439.68790687768,1465.03594536726
CBA,Evapo,0.0796482412060302,PF,1456.27968806412,1439.64315805102,1464.9907099204
CBA,Evapo,0.0846231155778894,PF,1456.2762649535,1439.59647224459,1464.94358991144
CBA,Evapo,0.0895979899497487,PF,1456.27070884979,1439.54771110269,1464.8944507288
CBA,Evapo,0.094572864321608,PF,1456.23105269834,1439.49673626963,1464.84315776091
CBA,Evapo,0.0995477386934673,PF,1456.18040181946,1439.44340938971,1464.78957639617
CBA,Evapo,0.104522613065327,PF,1456.13635381608,1439.38759210723,1464.79145229135
CBA,Evapo,0.109497487437186,PF,1456.1079614641,1439.32914606649,1464.81084518679
CBA,Evapo,0.114472361809045,PF,1456.07664956864,1439.2679329118,1464.82696269391
CBA,Evapo,0.119447236180905,PF,1456.04227215252,1439.20381428746,1464.8396410433
CBA,Evapo,0.124422110552764,PF,1456.00468323856,1439.1696466124,1464.84871646555
CBA,Evapo,0.129396984924623,PF,1455.96373684959,1439.1546133996,1464.85402519124
CBA,Evapo,0.134371859296482,PF,1455.91928700843,1439.13592172314,1464.85540345095
CBA,Evapo,0.139346733668342,PF,1455.84413150901,1439.11341914703,1464.85268747527
CBA,Evapo,0.144321608040201,PF,1455.73523605772,1439.08695323528,1464.84571349477
CBA,Evapo,0.14929648241206,PF,1455.58737720362,1439.05637155192,1464.83431774006
CBA,Evapo,0.15427135678392,PF,1455.43810179262,1439.02152166095,1464.81833644171
CBA,Evapo,0.159246231155779,PF,1455.35037024522,1438.98225112638,1464.7976058303
CBA,Evapo,0.164221105527638,PF,1455.25869394584,1438.93840751225,1464.77196213642
CBA,Evapo,0.169195979899498,PF,1455.16294140276,1438.88983838254,1464.74124159065
CBA,Evapo,0.174170854271357,PF,1455.06298112424,1438.83639130129,1464.70528042358
CBA,Evapo,0.179145728643216,PF,1454.95868161856,1438.77791383251,1464.6639148658
CBA,Evapo,0.184120603015075,PF,1454.84991139397,1438.7142535402,1464.61698114787
CBA,Evapo,0.189095477386935,PF,1454.73653895875,1438.64525798839,1464.56431550041
CBA,Evapo,0.194070351758794,PF,1454.61843282117,1438.57077474108,1464.50575415397
CBA,Evapo,0.199045226130653,PF,1454.49546148949,1438.4906513623,1464.44113333916
CBA,Evapo,0.204020100502513,PF,1454.36749347198,1438.40473541605,1464.37028928654
CBA,Evapo,0.208994974874372,PF,1454.2343972769,1438.31287446635,1464.29305822672
CBA,Evapo,0.213969849246231,PF,1454.09604141254,1438.21491607722,1464.20927639027
CBA,Evapo,0.21894472361809,PF,1453.95229438714,1438.11070781266,1464.11878000777
CBA,Evapo,0.22391959798995,PF,1453.80302470899,1438.00009723669,1464.02140530982
CBA,Evapo,0.228894472361809,PF,1453.64810088634,1437.88293191333,1463.91698852699
CBA,Evapo,0.233869346733668,PF,1453.48739142747,1437.75905940659,1463.80536588987
CBA,Evapo,0.238844221105528,PF,1453.32076484064,1437.62832728049,1463.68637362904
CBA,Evapo,0.243819095477387,PF,1453.14808963412,1437.49058309903,1463.55984797509
CBA,Evapo,0.248793969849246,PF,1452.96923431619,1437.34567442623,1463.42562515861
CBA,Evapo,0.253768844221106,PF,1452.81944842969,1437.19344882612,1463.28354141017
CBA,Evapo,0.258743718592965,PF,1452.67897535528,1437.03375386269,1463.13343296036
CBA,Evapo,0.263718592964824,PF,1452.53140056006,1436.86643709996,1462.97513603976
CBA,Evapo,0.268693467336683,PF,1452.37658200962,1436.69134610196,1462.80848687897
CBA,Evapo,0.273668341708543,PF,1452.21437766956,1436.50832843269,1462.63332170856
CBA,Evapo,0.278643216080402,PF,1451.98714809041,1436.31723165616,1462.44947675912
CBA,Evapo,0.283618090452261,PF,1451.73314035601,1436.1179033364,1462.25678826123
CBA,Evapo,0.288592964824121,PF,1451.47316614379,1435.91019103741,1462.05509244547
CBA,Evapo,0.29356783919598,PF,1451.20711697232,1435.69394232321,1461.84422554244
CBA,Evapo,0.298542713567839,PF,1450.9348843602,1435.46900475781,1461.62402378272
CBA,Evapo,0.303517587939699,PF,1450.65635982601,1435.23522590523,1461.39432339688
CBA,Evapo,0.308492462311558,PF,1450.37143488833,1434.99245332949,1461.15496061552
CBA,Evapo,0.313467336683417,PF,1450.08000106574,1434.72368918658,1460.90577166921
CBA,Evapo,0.318442211055276,PF,1449.78194987684,1434.43960654545,1460.64659278855
CBA,Evapo,0.323417085427136,PF,1449.4874579794,1434.14689502297,1460.37726020411
CBA,Evapo,0.328391959798995,PF,1449.19477172223,1433.84541544365,1460.09761014649
CBA,Evapo,0.333366834170854,PF,1448.89256747251,1433.53502863197,1459.80747884626
CBA,Evapo,0.338341708542714,PF,1448.5806965116,1433.21559541244,1459.50670253401
CBA,Evapo,0.343316582914573,PF,1448.24817715383,1432.88706095983,1459.19521200163
CBA,Evapo,0.348291457286432,PF,1447.89819715142,1432.54970785009,1458.87331628622
CBA,Evapo,0.353266331658292,PF,1447.53956930984,1432.20390300947,1458.5414189862
CBA,Evapo,0.358241206030151,PF,1447.17266964085,1431.8500133642,1458.19992369998
CBA,Evapo,0.36321608040201,PF,1446.79787415627,1431.48840584051,1457.84923402596
